,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.670729647881297,1.6670435576094471,0.0296589451427407,0.015196486308563137,0.01514533948975405,0.01514533948975405
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2614701622879583,1.259440993536852,0.024732388458734166,0.012602986133568054,0.01258673472285028,0.012562976966599724
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3292502684741134,1.3267337041832328,0.018604508704522564,0.009304523575344113,0.00925795078069612,0.009038711663817693
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.138468689194001,2.1340193154121625,0.03787347537827614,0.01857193193103632,0.018493782946556826,0.018449914767258824
VBFHHbbVV,0.034040204061650904,0.03393582938740616,0.033871160273235265,0.0026809324490812024,0.001471704182327051,0.001471704182327051,0.0014684959490813046
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.73644397825026,20.722037733532726,4.828064829685034,2.9300364845634483,2.9267069022047933,2.9179659281856214
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.744869646013065,34.72131434687679,7.886208928665336,4.802768645611569,4.796820988985043,4.781203563282261
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484227942935777,0.0347803482112243,0.00134506835895596,0.0007124345113020991,0.0007096409974581041,0.0007072507059185551
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.882518787146754,18.871693381051568,4.519184220690832,2.77146658320384,2.768294264860904,2.7593932733142426
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08871362076753309,0.08853325223910656,0.009676299012957773,0.005297978547722396,0.005291464413065345,0.005265049119063102
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.21423154769202,11.207374519255973,2.6467472860951236,1.6119174941083365,1.6098027036953513,1.604492674793323
