,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6755863889026215,1.6753489384450617,0.5456093847140931,0.5446524139481911,0.5413046760849091
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2646281844240221,1.264526949675925,0.42948539993376117,0.42879969266879087,0.4259496676790797
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3330370290340967,1.3328501897674974,0.5948470031370396,0.5938013047873507,0.5896321764389486
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1446404192761883,2.144279422242817,0.7080885632892051,0.7066859401279588,0.7018050362876517
VBFHHbbVV,0.034040204061650904,0.03403461271287648,0.03402990443058806,0.011560266332123197,0.011506873777651241,0.011407440470714073
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.7571914764134,20.756364340191308,5.506213026530258,5.493424652259172,5.455450492285167
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.78397802876074,34.782880615922885,9.261745585653623,9.239241047908106,9.178236285455501
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.034954357028150244,0.03494645042749721,0.016732818039595657,0.016669562296351435,0.016548270242452968
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.90099638276629,18.900221489541146,4.9758903702102,4.9642566296489194,4.931219754992763
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08895254318039318,0.08892652783340338,0.027494869027383777,0.02742570261430214,0.02729327435530032
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.22489685307161,11.22449739264124,2.962792177305122,2.955414180431606,2.9355970878662085
