,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.670729647881297,1.6670435576094471,0.542801967361567,0.541846629057944,0.5385373597284533
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2614701622879583,1.259440993536852,0.42742550013639724,0.4267474886926283,0.4239269537977328
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3292502684741134,1.3267337041832328,0.5918329464613581,0.590787248111669,0.5866470882734655
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.138468689194001,2.1340193154121625,0.7044621342846518,0.7030628837004795,0.6981896170489368
VBFHHbbVV,0.034040204061650904,0.03393582938740616,0.033871160273235265,0.011491356592307858,0.0114379640378359,0.011338530730898733
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.73644397825026,20.722037733532726,5.495275817954916,5.482516388731763,5.444619091143745
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.744869646013065,34.72131434687679,9.242468009506752,9.220064565008098,9.15933518966101
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484227942935777,0.0347803482112243,0.0166490267060906,0.016586392067889033,0.016465273028333876
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.882518787146754,18.871693381051568,4.966366953763059,4.954767991215179,4.921834423829437
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08871362076753309,0.08853325223910656,0.027325636012035488,0.027256469598953847,0.02712404133995203
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.21423154769202,11.207374519255973,2.9573461558125067,2.949997968205394,2.9302537591581794
