,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.671253156343986,1.667054663581594,0.5425097634632763,0.5415557049776891,0.5382253620926726
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2619213962134905,1.259476514431856,0.4275024174159853,0.4268257250846003,0.4239992174882121
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3300489277361773,1.3270343186009006,0.5920376775328634,0.5909919791831744,0.5868698324969926
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1390768166419116,2.133136138305944,0.7039074497841113,0.7025302669223622,0.6976582297835823
VBFHHbbVV,0.034040204061650904,0.03394053173651452,0.03385030303208773,0.011481653256601734,0.01143072550786186,0.01133208238775418
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.739352616008404,20.724376023579612,5.495022584537881,5.482226026662031,5.444314175675449
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.751680542343635,34.7259112385066,9.243148444958875,9.220768895092728,9.159949241138813
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.0348340123755803,0.03476342971248835,0.01662712305409593,0.01656386731085171,0.016445092864715887
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.88651379148402,18.874724613646766,4.967240758272406,4.955648358534313,4.922729011446076
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.0887174649087295,0.08843522093011229,0.027286946959219866,0.02721778054613823,0.02708535228713641
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.216740371140801,11.208863928418946,2.9572302482764594,2.9498626961255057,2.9300685622060834
