,SF,syst_unc,stat_unc,sj_pt_unc,sj_matching_unc
HHbbVV,0.95 ± 0.28,0.2561410936981489,0.07856434788501383,0.010841863482916728,0.1191523325514725
ggHH_kl_2p45_kt_1_HHbbVV,0.98 ± 0.29,0.256817559100826,0.08162761649790178,0.009575297858818856,0.12763764053993107
ggHH_kl_5_kt_1_HHbbVV,0.98 ± 0.58,0.5694331197556697,0.07524985450900107,0.015874863024629263,0.14720640086791428
ggHH_kl_0_kt_1_HHbbVV,0.97 ± 0.29,0.26474504264374177,0.07726988547265556,0.005763758045281085,0.12100246002460024
VBFHHbbVV,1.08 ± 0.46,0.3785623057161032,0.05098078240779178,0.006963134878500602,0.18628544122331953
qqHH_CV_1_C2V_0_kl_1_HHbbVV,0.93 ± 0.27,0.16385915333386447,0.05553290977152946,0.015475147785647868,0.22911006839960782
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,0.94 ± 0.27,0.16601240523773378,0.05626640929917863,0.01510216000856959,0.22714005028084797
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.99 ± 0.65,0.6286761320266583,0.06549445688986373,0.008613438799934335,0.18335027100271
qqHH_CV_1_C2V_2_kl_1_HHbbVV,0.94 ± 0.27,0.16474240244610602,0.05481188403763621,0.015422563392670808,0.22907868198681472
qqHH_CV_1_C2V_1_kl_0_HHbbVV,1.03 ± 0.36,0.29483513160566605,0.0501903719870131,0.005015141340947516,0.17681357901726427
