,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.9734
HHbbVV,4.195008340515057,1.9850190976132749,1.9850190976132749,1.9850190976132749,1.9790901153021438,1.9741353376747495,1.9741353376747495,0.6534281535681897
QCD,3048446.9999554865,1299994.2424323014,1390671.9664265167,1390671.9664265167,1385454.619714917,1381545.5391913892,1381545.5391913892,1111658.7266518206
TT,193771.92446254156,108971.33199740764,108971.33199740764,108971.33199740764,108596.03805506787,108188.94416321091,108188.94416321091,87587.17446468645
ST,13841.807461920154,8207.352255699509,8207.352255699509,8207.352255699509,8173.542421368004,8153.934084007797,8153.934084007797,6679.366497677136
V+Jets,85738.12281680925,44939.42374107139,44939.42374107139,44939.42374107139,44778.32337141719,44666.99864531666,44666.99864531666,30446.93198487665
Diboson,1314.1944037157127,717.9255793045147,717.9255793045147,717.9255793045147,715.766317507949,713.451753186686,713.451753186686,417.65404883214575
Data,1553508.0,1553508.0,1553508.0,1553508.0,1553508.0,1553508.0,1553508.0,1278219.0
