,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,5.020238201229507,5.00813551668902,4.981479176793716
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,1111498.619746399,1109610.6343678196,1105869.5976310647
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,69938.88658792693,62635.99089340385,55597.8674456494
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,6050.820338631384,5529.707231105482,5002.047143842368
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,11442.253400278574,11412.903695028288,11384.467954695778
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,10727.869736783909,10701.638383937348,10650.717213815227
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,528.7134051722733,504.23954045538136,481.2735473948868
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,75.20842279058951,74.96614782550914,74.33711788628149
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,21.070718661218983,20.993015662317408,20.85774979151046
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,19.427045508031014,19.35053781207776,19.211950685719827
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,36.48748529828537,36.40318784730249,36.20218290278865
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,3.510250809527511,3.501842745573473,3.4772459484994482
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,150.0386171526095,132.47937019794853,114.833435044434
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,88.77048162422129,74.1425987878431,61.542463920915
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,1241426.0,1229484.0,1216045.0
