,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.998
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.06743631840980122,0.04576001711361039,0.04568235714729124,0.04550415326451961,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7966181927909652,0.7929251357407407,0.04705363853980748,0.03292688036839562,0.03289856200372622,0.03279545166886219,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8351909835840614,0.8317756967171981,0.03496555530636737,0.02323869512963747,0.02323869512963747,0.023201125864564832,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4226156102926775,1.4129101659183219,0.07651294199298336,0.05064019414982708,0.050521686203268475,0.05045018920713465,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021438896099242835,0.021315873451069035,0.0010357734914700424,0.0007290677683733285,0.0007290677683733285,0.0007146353470690362,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,0.9064792258420441,0.6844278744889951,0.6830893099016686,0.6805294401744832,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47731328698665,18.44388166206678,1.4879153875362552,1.1198928828420087,1.1172481179225657,1.1133698521581423,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021387774292197015,0.02128691499756289,0.0005368525992027714,0.00034250797308375683,0.00034250797308375683,0.00034250797308375683,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.931050331915193,9.916982995696745,0.8408618026066046,0.6347199898991208,0.6333836661589751,0.631538547730813,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05592359011921978,0.05559233902875846,0.0029554358436065433,0.002154041557896191,0.002154041557896191,0.00213876815382968,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,22.244014442857914,0.0,0.0,0.0,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,14.271715562658128,3.1566954720482983,2.8862134072522037,2.637846016367173,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,1.0947397108178452,0.3627477842497195,0.3627477842497195,0.3627477842497195,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,2.705581044549461,0.0754741537378946,0.0754741537378946,0.0754741537378946,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,1.6375935574256633,0.9182214590567984,0.9182214590567984,0.9182214590567984,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.004885259938253187,0.004885259938253187,0.004885259938253187,0.004885259938253187,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.006068461144207527,0.006068461144207527,0.006068461144207527,0.006068461144207527,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.0002400427404862805,0.0,0.0,0.0,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.036411335689232854,0.014362441727037082,0.014362441727037082,0.012236314903815512,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.7098435359086602,0.20516010467687434,0.19186097734421997,0.18306097780765884,
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,,28.0,28.0,28.0,151.0
