,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1007654125568072,1.0943466848718584,0.0669001445128471,0.045532914523098086,0.04547062469602075,0.045307778763693754,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7966839978476782,0.7929702737652506,0.047268298774967556,0.03312949017525034,0.033101171810580934,0.032993892600766656,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.834916579637446,0.8313931208750229,0.035142296173135676,0.02339640337253792,0.02339640337253792,0.023358834107465278,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.422734538030712,1.413057483248668,0.07620483444587836,0.050457519759558554,0.05033901181299995,0.050267514816866116,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021438601541618647,0.02130944961532647,0.0010371923999253911,0.0007308464809608938,0.0007308464809608938,0.0007164140596566013,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.993916278669817,10.975351227637582,0.908266757614138,0.6864685398675349,0.6851299752802084,0.682524635951758,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47778093467595,18.44445480245551,1.4891564789585199,1.119136449764313,1.1163759382730214,1.112497672508598,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.02138682863811925,0.021273317169623898,0.0005310876245652727,0.00033842468349025814,0.00033842468349025814,0.00033842468349025814,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.93227980894857,9.91773923265224,0.8415430153543577,0.6354586608892598,0.6341447042490387,0.6322469830858957,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05595921964896841,0.05560877654128435,0.002931596395206531,0.0021292175528541822,0.0021292175528541822,0.002113944148787672,,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208182.4786762223,1200009.3644063028,22.244014442857914,0.0,0.0,0.0,,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76005.7888408999,75436.82978583084,14.307968373112441,3.0953550726269885,2.8248730078308943,2.5765056169458638,,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6566.328361234981,6530.907835704748,1.0947397108178452,0.3627477842497195,0.3627477842497195,0.3627477842497195,,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12339.320639263746,12260.495964100859,2.534247149751486,0.0754741537378946,0.0754741537378946,0.0754741537378946,,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14597.661223947085,14510.332852864116,1.6375935574256633,0.9182214590567984,0.9182214590567984,0.9182214590567984,,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,698.579291598942,694.5916383161529,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.15554634923888,137.17501694965563,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.49535934358885,40.33863807551278,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30942955891692,38.14570716432015,0.004885259938253187,0.004885259938253187,0.004885259938253187,0.004885259938253187,,,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79959420574862,65.60151072204596,0.006068461144207527,0.006068461144207527,0.006068461144207527,0.006068461144207527,,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.889087636165095,5.8513654951795635,0.0002400427404862805,0.0,0.0,0.0,,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.82068755865188,185.52754103860983,0.036411335689232854,0.014362441727037082,0.014362441727037082,0.012236314903815512,,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,96.95233954850245,96.16828112430852,0.7173431055983821,0.20673138553407788,0.19343225820142348,0.18463225866486238,,,
Data,1331012.0,1331012.0,1331012.0,,,,28.0,28.0,28.0,1331012.0,1331012.0,151.0
