,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.998
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.06722987522130566,0.045806368992610765,0.04574462546428809,0.045566421581516456,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7966181927909652,0.7929251357407407,0.04721132938077389,0.03299929587721573,0.03296222874882762,0.03285494953901334,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8351909835840614,0.8317756967171981,0.035217704686301726,0.02333987157209328,0.02333987157209328,0.023302302307020642,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4226156102926775,1.4129101659183219,0.07614299044695516,0.0504127439770007,0.0502942360304421,0.05022273903430826,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021438896099242835,0.021315873451069035,0.0010310334980450087,0.0007196652227158866,0.0007196652227158866,0.0007052328014115943,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,0.906579035350987,0.6848366800450794,0.6834692583477583,0.6809093886205729,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47731328698665,18.44388166206678,1.4851667978456737,1.1174487535644475,1.1148126315613514,1.110934365796928,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021387774292197015,0.02128691499756289,0.0005298340005547195,0.0003346867468452999,0.00033240092053699017,0.00033240092053699017,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.931050331915193,9.916982995696745,0.840768493205384,0.6347466447767756,0.6334326881365544,0.6315351321433816,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05592359011921978,0.05559233902875846,0.002966344219465293,0.002153238237144645,0.002153238237144645,0.002137964833078135,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,22.244014442857914,0.0,0.0,0.0,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,14.247995526550842,3.069949835812113,2.7994677710160185,2.5511003801309884,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,1.0947397108178452,0.3627477842497195,0.3627477842497195,0.3627477842497195,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,2.903194692625188,0.0754741537378946,0.0754741537378946,0.0754741537378946,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,1.6375935574256633,0.9182214590567984,0.9182214590567984,0.9182214590567984,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.004885259938253187,0.004885259938253187,0.004885259938253187,0.004885259938253187,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.006068461144207527,0.006068461144207527,0.006068461144207527,0.006068461144207527,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.0002400427404862805,0.0,0.0,0.0,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.03588095055054648,0.014362441727037082,0.014362441727037082,0.012236314903815512,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.70800616006552,0.2072938469979581,0.1939947196653037,0.1851947201287426,
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,,28.0,28.0,28.0,151.0
