,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.706591057896172,1.706591057896172,1.7065851517004555,1.706563929098256,0.1452419273635046,0.09975281166538706,0.08498509009534672,0.0848649554248764,0.08440703294676213,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238260860955682,1.3238113768401185,0.1092381319180282,0.07458049022679177,0.06234991996091388,0.06229372853622624,0.06203072416749177,,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4539716292322553,1.4539676056039448,0.08472787808027997,0.05841373894952458,0.048238034018044836,0.04816472207672929,0.047990461564177356,,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525633184608575,2.1524763726481866,0.17400568379724612,0.11666136623558138,0.10031057330956548,0.10016619562283954,0.09970763384960485,,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938017151233662,0.03937996600461599,0.0026526354629954605,0.0018118515307612335,0.0009964196371913155,0.0009923923343717505,0.0009894356990892879,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.80277015575159,25.802680847596257,2.667218488772025,2.010612891555582,0.7724267624725991,0.7711685068936753,0.7684471664313393,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.972382254621955,42.97195112150606,4.428543244886989,3.3368917987662656,1.2963809718530375,1.2934496648424436,1.2868199516658252,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.041051515857750465,0.0016151896807531504,0.0011568328931198665,0.0006795489172775161,0.0006776874460393536,0.0006776874460393536,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628576183635968,23.628432061958964,2.4313507704159334,1.8285953597047917,0.6958865001929495,0.6942363226398099,0.6910877465002363,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023322280037315,0.10023322280037315,0.009606695047907843,0.007057852505346041,0.0036703166771742614,0.003668944490915073,0.003667507983052861,,,
QCD,1126208.5372077704,1204990.9790546382,1204968.588130011,1204955.485744056,46.225470250470266,4.74733661393482,4.079153202648582,4.079153202648582,4.079153202648582,,,
TT,126178.01663528237,126178.01663528237,126174.28689269017,126170.12612420504,31.02452216140854,5.827388259356782,5.827388259356782,5.142149444501198,4.480598294125049,,,
ST,11213.018738828063,11213.018738828063,11212.048811462337,11211.655393615407,2.3983382480074136,0.4839470190346713,0.4839470190346713,0.4839470190346713,0.4839470190346713,,,
W+Jets,15930.077126498532,15930.077126498532,15929.567731787893,15929.209710016235,6.8180924710780495,1.766403199173974,1.6464452746887623,1.6464452746887623,1.6464452746887623,,,
Z+Jets,22772.15825578505,22772.15825578505,22771.53543504107,22770.964652224375,2.8218610904221175,1.008789549048907,1.008789549048907,1.008789549048907,1.008789549048907,,,
Diboson,1008.665041486354,1008.665041486354,1008.6552751889706,1008.6552751889706,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,223.10648942140045,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.28205035333777,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,67.12062616739404,67.12062616739404,67.12052250655093,67.12052250655093,0.007892423137617075,0.00556980503247999,0.0028784112656099264,0.0028784112656099264,0.0028784112656099264,,,
WHbb,116.35029311753367,116.35029311753367,116.34265009656505,116.33875840971054,0.02512727333017514,0.019221141583816607,0.018009634176885832,0.018009634176885832,0.018009634176885832,,,
ggZHbb,10.311005316400479,10.311005316400479,10.310920939333991,10.310900618783364,0.002318694286283809,0.0018804756214083845,0.0015649664772532357,0.0015649664772532357,0.0015649664772532357,,,
ttHbb,354.83801865944884,354.83801865944884,354.82351614889456,354.81594162326763,0.07768299840733597,0.023010875369072578,0.023010875369072578,0.020289779484309014,0.01844845102403503,,,
HWW,172.07437391871363,172.07437391871363,172.07336962048205,172.06752156096098,1.440786170260925,0.3858570604814607,0.3446787043566674,0.3257233728133583,0.31235965371728436,,,
Data,1383108.0,1383108.0,,,,41.0,40.0,38.0,37.0,1383108.0,1383108.0,197.0
