,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.12516034158166672,0.08599310077009684,0.0724658258147755,0.07237312624302746,0.07205192913421421,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,0.09422454082519041,0.06433696202918891,0.05303857937592474,0.052993855780538356,0.052770794360301965,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,0.07339667466253672,0.05030013201729421,0.04113113085319606,0.04105781891188051,0.04088355839932858,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,0.15307399759108248,0.10360021365416161,0.08832220636704191,0.08824039032518625,0.08780303791098247,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.0022603432758027046,0.0015649199797028905,0.0008122713296809407,0.0008082440268613756,0.000805287391578913,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,2.2991836611871013,1.7339734451999502,0.6560244554767357,0.6548518215933461,0.6525312993095221,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,3.8439139968076437,2.8970070069896705,1.1134594174603087,1.110868317927582,1.10535660094097,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.0013478534394804275,0.0009583068077521652,0.0005412377820956968,0.0005393763108575344,0.0005393763108575344,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,2.092340536236952,1.5745091985559854,0.5940169902073131,0.5925556844913784,0.5900075471590571,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.008426749743441403,0.006068271090789548,0.003192050900126543,0.0031906787138673543,0.0031906787138673543,
QCD,1126208.5372077704,1204990.9790546382,1200602.6007629426,1197348.6443478006,45.218344553607814,5.51476505908442,4.846581647798182,4.846581647798182,4.846581647798182,
TT,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,32.2987545277127,5.437575497424243,5.437575497424243,4.833066219387871,4.357105792674219,
ST,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,2.1153886869502507,0.16439909390757668,0.16439909390757668,0.16439909390757668,0.16439909390757668,
W+Jets,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,6.901107354252746,1.9546024302148965,1.8346445057296852,1.8346445057296852,1.8346445057296852,
Z+Jets,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,3.074990894664648,1.356110098121292,1.356110098121292,1.356110098121292,1.356110098121292,
Diboson,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.0,0.0,0.0,0.0,0.0,
ggFHbb,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.031571511719930515,0.0,0.0,0.0,0.0,
VBFHbb,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0,0.0,
ZHbb,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.004015090342246516,0.001692472237109429,0.001692472237109429,0.001692472237109429,0.001692472237109429,
WHbb,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.0248967811395955,0.019430331398306265,0.01821882399137549,0.01821882399137549,0.01821882399137549,
ggZHbb,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.0021556036871832975,0.0017215760944441954,0.0017215760944441954,0.0017215760944441954,0.0017215760944441954,
ttHbb,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.07615159447021469,0.024442388285484402,0.024442388285484402,0.022581045879917702,0.02073971741964372,
HWW,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,1.2554062061421916,0.3152791203171928,0.2760718902250749,0.26880276829941346,0.2557186353902599,
Data,1383108.0,1383108.0,1383108.0,1383108.0,,41.0,40.0,38.0,37.0,197.0
