,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.14497199055605545,0.09963739593565848,0.08495214119705007,0.08483200652657974,0.08440055872183716,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,0.10868270524896395,0.0741891593648243,0.061885115430061,0.06181746910307882,0.061563217937092934,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,0.08443083860499301,0.05838212092936414,0.04803752164455305,0.04791505385915246,0.04774079334660053,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,0.17324445285569434,0.11631929344570786,0.09991300031530065,0.0997686226285747,0.09932732527738816,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.0026088793433481235,0.0018014793941926658,0.000986994068267849,0.000982966765448284,0.0009800101301658214,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,2.6616779755208024,2.0074573347670177,0.7698628494069661,0.7685318080036747,0.7658146937240282,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,4.4143378174119805,3.3235510059485756,1.2913876146650194,1.2887849597116146,1.282155246534996,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.0016011508507957693,0.0011309785914222405,0.0006688435309524711,0.0006669820597143088,0.0006669820597143088,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,2.4265718436030745,1.8263125653272099,0.6931966883191638,0.6915528794040893,0.6883748580943394,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.009534700682259482,0.007006688032110333,0.003649628154343782,0.0036482559680845934,0.0036482559680845934,
QCD,1126208.5372077704,1204990.9790546382,1200602.6007629426,1197348.6443478006,47.100085902274955,4.74733661393482,4.079153202648582,4.079153202648582,4.079153202648582,
TT,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,31.084132716991455,6.200747271647062,6.200747271647062,5.434085560861114,4.7725344104849645,
ST,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,2.4503500249735795,0.49342328339902114,0.49342328339902114,0.49342328339902114,0.49342328339902114,
W+Jets,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,6.564300016021998,1.934531058290474,1.8145731338052624,1.8145731338052624,1.8145731338052624,
Z+Jets,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,2.814233735741356,1.0276220993910448,1.0276220993910448,1.0276220993910448,1.0276220993910448,
Diboson,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.0,0.0,0.0,0.0,0.0,
ggFHbb,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.031571511719930515,0.0,0.0,0.0,0.0,
VBFHbb,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0,0.0,
ZHbb,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.006706484109116578,0.004383866003979492,0.001692472237109429,0.001692472237109429,0.001692472237109429,
WHbb,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.025071866881734704,0.019165735135376172,0.017954227728445397,0.017954227728445397,0.017954227728445397,
ggZHbb,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.0023145032141474865,0.0018804756214083845,0.0015649664772532357,0.0015649664772532357,0.0015649664772532357,
ttHbb,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.07932963324515722,0.02385609388059591,0.02385609388059591,0.021319475410324442,0.019478146950050453,
HWW,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,1.4260022165330053,0.3677945086681619,0.3266161525433686,0.3193470306177072,0.3059833115216332,
Data,1383108.0,1383108.0,1383108.0,1383108.0,,41.0,40.0,38.0,37.0,197.0
