,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,0.9147081031687907,0.9147081031687907,0.9086202562710456,0.9032729107620694,0.009583006101330529,0.004381194011370422,0.004381194011370422,0.004357890672393658,,
QCD,717986.216814939,956785.8146709627,948364.0361544128,941611.8267485962,5.766758281634221,0.0,0.0,0.0,,
TT,63126.80979180276,63126.80979180276,62673.79614323329,62216.48155564703,1.7730969429889694,-0.014322698241955409,-0.014322698241955409,-0.014322698241955409,,
ST,5417.824558008516,5417.824558008516,5377.353115354821,5346.142315388623,0.055091396808934615,0.0,0.0,0.0,,
W+Jets,9487.889178263631,9487.889178263631,9420.543436555281,9370.593747378542,0.43288591168609253,0.09674163352935557,0.09674163352935557,0.09674163352935557,,
Z+Jets,12055.822300436781,12055.822300436781,11963.681352389223,11895.51750751837,0.13412189797405288,0.0,0.0,0.0,,
Diboson,544.751536187187,544.751536187187,541.5333279703598,539.5308044193844,0.0,0.0,0.0,0.0,,
ggFHbb,120.74204174793252,120.74204174793252,120.07126024952862,119.40043805803371,0.0,0.0,0.0,0.0,,
VBFHbb,32.24173303425971,32.24173303425971,32.09098572075379,31.915490654706662,0.0,0.0,0.0,0.0,,
ZHbb,32.70020301080715,32.70020301080715,32.51229709989521,32.39048595448399,0.0,0.0,0.0,0.0,,
WHbb,56.014320595270185,56.014320595270185,55.68961912767411,55.51113359847001,0.0,0.0,0.0,0.0,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.850277343583236,4.823413122979026,0.0002247348412580244,0.0,0.0,0.0,,
ttHbb,156.94119216557863,156.94119216557863,155.94705721730352,154.8512284574327,0.0053023453275395736,0.001073905122834825,0.001073905122834825,0.001073905122834825,,
HWW,80.56791059341468,80.56791059341468,80.06917628289587,79.44977797155293,0.07893740375718174,0.012051867493711397,0.012051867493711397,0.012051867493711397,,
Data,1047903.0,1047903.0,,,24.0,1.0,1.0,1.0,1047903.0,1047903.0
