,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1126208.5372077702,1204990.9790546389,1099336.1147222044,1036844.0848393111,1008111.0560891891,221418.13614493707,203791.15032159994,197315.22934922107,196943.51143758057,196012.9696464167,,,
TT,126178.01663528233,126178.01663528233,115918.45927403905,106593.53805175246,104938.62170419967,24482.226925837498,22960.730316688405,21833.367615608415,19132.968837538883,17180.02135490785,,,
ST,11213.018738828068,11213.018738828068,10208.273559011384,9571.038859557377,9438.285937159068,2186.684197598914,2057.8748920993967,1929.6480675653436,1735.3922350867622,1571.6778424201752,,,
W+Jets,15930.077126498532,15930.077126498532,14867.542368205846,14082.691219129416,13826.530236295748,2649.2035737016568,2457.5147918405723,2283.5678816320246,2276.9871335723747,2269.9667814866534,,,
Z+Jets,22772.15825578505,22772.15825578505,20954.152074153593,19867.796934357008,19475.503492886084,7492.591140164508,4932.821709460011,4728.688017433558,4716.595568743478,4691.977662375634,,,
Diboson,1008.6650414863541,1008.6650414863541,943.5555847122603,905.2491609263145,889.0362095561452,305.69577876250014,197.47309102609404,182.381513587472,174.8246463301583,167.37029065016046,,,
ggFHbb,223.1087799478259,223.1087799478259,209.41596660422243,192.75749921763912,187.99129530075237,34.1006132671102,20.45157390850462,19.75554765990644,19.65311068680337,19.524202328968922,,,
VBFHbb,71.28205035333777,71.28205035333777,66.95858134529635,63.678860780527096,62.576322776582195,9.766404406625778,5.233806081033696,5.07750801721433,5.055130828958413,5.006665332977314,,,
ZHbb,67.12062616739404,67.12062616739404,62.544269533191866,60.27744918189762,59.032303185138204,12.765461913612256,6.629479030966266,6.373243616857601,6.3640822782582855,6.3052715875808065,,,
WHbb,116.35029311753367,116.35029311753367,108.22893312289973,105.02386126671988,102.93753696062797,17.984523287926116,10.825901546089696,10.055306794519423,10.020773409248152,9.928991198815979,,,
ggZHbb,10.311005316400477,10.311005316400477,9.502007335463656,8.972774631007276,8.830439394470925,2.022612148217479,1.3008805955884024,1.2609485837811565,1.2552170093263348,1.2443858616403451,,,
ttHbb,354.83801865944884,354.83801865944884,323.2086442340728,296.1427331988309,293.19279355263234,61.66203564993455,51.5844107574633,49.31831540993804,43.16168115407929,37.70032684580061,,,
HWW,172.07437391871366,172.07437391871366,157.34052193301875,141.3674167442639,139.8360171025445,32.360383152582315,29.576625308771614,25.46587102021527,20.550919183063872,16.91373639902826,,,
Data,1383108.0,1383108.0,,,,257195.0,237860.0,225791.0,222256.0,219160.0,1270702.0,1193818.0,1182302.0
