,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1126208.5372077702,1204990.9790546389,1099336.1147222044,1036844.0848393111,1008111.0560891891,1006529.482893349,1002300.4602197758,,,
TT,126178.01663528233,126178.01663528233,115918.45927403905,106593.53805175246,104938.62170419967,94322.77765471133,84608.25347781084,,,
ST,11213.018738828068,11213.018738828068,10208.273559011384,9571.038859557377,9438.285937159068,8620.453005344463,7764.086924521792,,,
W+Jets,15930.077126498532,15930.077126498532,14867.542368205846,14082.691219129416,13826.530236295748,13796.35113267258,13753.64476850495,,,
Z+Jets,22772.15825578505,22772.15825578505,20954.152074153593,19867.796934357008,19475.503492886084,19435.952347194358,19349.12963757576,,,
Diboson,1008.6650414863541,1008.6650414863541,943.5555847122603,905.2491609263145,889.0362095561452,850.204595329861,797.1930772697611,,,
ggFHbb,223.1087799478259,223.1087799478259,209.41596660422243,192.75749921763912,187.99129530075237,187.71036402634707,186.57899299605785,,,
VBFHbb,71.28205035333777,71.28205035333777,66.95858134529635,63.678860780527096,62.576322776582195,62.28695767134623,61.893688316748595,,,
ZHbb,67.12062616739404,67.12062616739404,62.544269533191866,60.27744918189762,59.032303185138204,58.90367343672429,58.49002230936251,,,
WHbb,116.35029311753367,116.35029311753367,108.22893312289973,105.02386126671988,102.93753696062797,102.73922178377644,102.14203273785091,,,
ggZHbb,10.311005316400477,10.311005316400477,9.502007335463656,8.972774631007276,8.830439394470925,8.805469558262349,8.73866130521059,,,
ttHbb,354.83801865944884,354.83801865944884,323.2086442340728,296.1427331988309,293.19279355263234,259.1990316642833,224.92849780430873,,,
HWW,172.07437391871366,172.07437391871366,157.34052193301875,141.3674167442639,139.8360171025445,117.59821205557287,98.37241298088976,,,
Data,1383108.0,1383108.0,,,,1167416.0,1151740.0,1270702.0,1193818.0,1182302.0
