,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1126208.5372077702,1204990.9790546389,1091686.2767067247,1023988.7977089484,994468.4629464046,218355.80584014798,200929.9622185014,194536.62296284182,194180.47839182726,193259.49545444673,,,
TT,126178.01663528233,126178.01663528233,115273.36186126171,105326.70861191051,103602.56899115718,24117.329364144818,22615.427977503605,21501.75751534912,18842.880316424045,16932.745307373112,,,
ST,11213.018738828068,11213.018738828068,10142.455724780455,9458.133006199738,9322.638614477924,2153.5735869216355,2026.3235651152368,1900.0597732866645,1708.918395452946,1548.1879867478638,,,
W+Jets,15930.077126498532,15930.077126498532,14783.19186296935,13931.043934545101,13664.959972341398,2612.823694286308,2424.0441438763564,2251.252247668369,2244.8906237014744,2237.927329508916,,,
Z+Jets,22772.15825578505,22772.15825578505,20802.972335464023,19632.050664188246,19227.04958843867,7397.53461149205,4869.940919439735,4667.992352832384,4656.246824500066,4632.068326339225,,,
Diboson,1008.6650414863541,1008.6650414863541,936.4402865398723,893.2616454536287,876.8503007563286,301.8055400054242,195.44583253213602,180.35425509351398,172.87619230154337,165.42183662154554,,,
ggFHbb,223.1087799478259,223.1087799478259,208.30195403751515,190.49653420734825,185.54171233559265,33.63373336270014,20.185169063308486,19.4922939434988,19.389856970395734,19.26094861256129,,,
VBFHbb,71.28205035333777,71.28205035333777,66.61287465011183,62.84198870650114,61.685130797987306,9.649882595314663,5.174664066377986,5.01836600255862,4.995988814302704,4.947523318321603,,,
ZHbb,67.12062616739404,67.12062616739404,62.11539479001107,59.65733937566006,58.377605837385396,12.567989165932932,6.515425819818344,6.261506464142908,6.252345125543593,6.1935344348661125,,,
WHbb,116.35029311753367,116.35029311753367,107.49712890863049,103.98776396880199,101.82282820093816,17.74259479842488,10.672898810439026,9.911100372627864,9.878467452759402,9.789510595337974,,,
ggZHbb,10.311005316400477,10.311005316400477,9.447615984178295,8.874781762097546,8.729540016747084,1.995654225675494,1.2861543028015476,1.2464498040363292,1.2407182295815073,1.2300233857287997,,,
ttHbb,354.83801865944884,354.83801865944884,321.3836060749171,292.643026654335,289.53986342140485,60.6963517994064,50.7831063749112,48.54734744580713,42.491244910607655,37.11642613232865,,,
HWW,172.07437391871366,172.07437391871366,156.48847906642104,139.66369434781421,138.04955422749703,32.0032165031488,29.23620173654264,25.142636139649262,20.28739856806719,16.706388422288814,,,
Data,1383108.0,1383108.0,,,,257195.0,237860.0,225791.0,222256.0,219160.0,1270702.0,1193818.0,1182302.0
