,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1126208.5372077702,1204990.9790546389,1091829.1940363718,1024773.1170107755,994157.197566238,992617.3130798431,988463.561631965,,,
TT,126178.01663528233,126178.01663528233,115210.69518129839,105251.0227295055,103462.65944663838,93048.9435932764,83527.07573636284,,,
ST,11213.018738828068,11213.018738828068,10135.318099485703,9453.421697644919,9311.551870442012,8507.834154017866,7666.974617188831,,,
W+Jets,15930.077126498532,15930.077126498532,14787.420388844965,13942.346335360633,13662.906700192945,13633.763745333485,13591.389303650085,,,
Z+Jets,22772.15825578505,22772.15825578505,20803.69477698711,19642.647887139225,19219.616607725595,19181.259384506175,19096.232607880327,,,
Diboson,1008.6650414863541,1008.6650414863541,936.6974527373479,895.1833225237303,878.5967665689727,839.9679264884481,787.0879458746222,,,
ggFHbb,223.1087799478259,223.1087799478259,208.33854851724132,190.73841503521086,185.45647306628297,185.17554179187766,184.04417076158848,,,
VBFHbb,71.28205035333777,71.28205035333777,66.57144808367707,62.88355768217262,61.69945176446569,61.4200061505302,61.02673679593256,,,
ZHbb,67.12062616739404,67.12062616739404,62.157177486409175,59.70902915031397,58.36298844539078,58.23435869697687,57.8232599170487,,,
WHbb,116.35029311753367,116.35029311753367,107.53226818147353,104.06975297147089,101.7858474416917,101.59520788468298,101.00919889447673,,,
ggZHbb,10.311005316400477,10.311005316400477,9.445010817293094,8.875414890631745,8.725799047873851,8.701023569203809,8.635421365824563,,,
ttHbb,354.83801865944884,354.83801865944884,321.3325445904349,292.5093450828418,289.32433388844214,255.85840135293518,222.1526882223176,,,
HWW,172.07437391871366,172.07437391871366,156.38756218617007,139.4408970163354,137.79293317392592,115.85606159427415,97.01425044764068,,,
Data,1383108.0,1383108.0,,,,1167416.0,1151740.0,1270702.0,1193818.0,1182302.0
