,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1126208.5372077702,1204990.9790546389,1082791.3045432647,1010534.5328699123,975982.5535852,212998.87650562174,196039.0549774197,189661.23002238292,189398.12500199577,188508.91842500295,,,
TT,126178.01663528233,126178.01663528233,114490.2353863148,103920.30786860189,101851.71702963293,23846.557193590572,22359.82980289538,21238.89350509491,18185.506259274178,16379.543890932731,,,
ST,11213.018738828068,11213.018738828068,10063.814690293584,9333.881158662574,9169.602529867114,2174.4365569326224,2040.1018718956689,1913.20096028639,1696.815104628773,1541.3238454157952,,,
W+Jets,15930.077126498532,15930.077126498532,14691.806727684198,13777.267658173338,13457.90702673858,1943.374668195036,1829.5220129379823,1676.3968189723641,1672.0543944247388,1665.1958981252194,,,
Z+Jets,22772.15825578505,22772.15825578505,20633.98475649249,19387.760471367154,18906.89524950993,3046.005757682856,2538.407619293711,2423.5803087035442,2417.3516004860176,2403.0874918681734,,,
Diboson,1008.6650414863541,1008.6650414863541,928.2792348935631,882.3386302772958,863.6551975055806,78.3128451781632,61.987593959419726,60.75899201971639,55.69793299023797,51.68668177291278,,,
ggFHbb,223.1087799478259,223.1087799478259,206.96121335168272,188.11216062010658,182.14359517046486,134.6461412211791,65.31576856725495,63.32340556923664,63.179330314459854,62.71240379363161,,,
VBFHbb,71.28205035333777,71.28205035333777,66.22831484205756,62.021356057605445,60.603962583813285,47.162132235396555,20.743308726485914,19.984752487840233,19.886532513120763,19.685666137884084,,,
ZHbb,67.12062616739404,67.12062616739404,61.675631496288744,59.011833939231224,57.48892061830066,37.2333449243268,17.313640728455198,16.322701526115072,16.285068010779906,16.141984717522288,,,
WHbb,116.35029311753367,116.35029311753367,106.66396487768547,102.92776097108307,100.33370527348852,72.68688770602381,35.207791295659014,32.44537162350497,32.379538902766534,32.17210561816799,,,
ggZHbb,10.311005316400477,10.311005316400477,9.381778754562763,8.77298922770347,8.603830059714706,4.4462326622049915,2.3716470605351083,2.2706074708074087,2.2633845245907995,2.2465443125382536,,,
ttHbb,354.83801865944884,354.83801865944884,319.26690607262464,288.7889140300193,285.10020418113174,98.21885131029026,66.33715957989884,63.28530719230075,54.48665901016038,47.146049615570575,,,
HWW,172.07437391871366,172.07437391871366,155.5646345789582,137.67677353842413,135.75568599415618,30.12165992813925,28.391198892157746,25.049037429200112,20.139602859561997,16.739618014522687,,,
Data,1383108.0,1383108.0,,,,250856.0,232894.0,220934.0,216868.0,213893.0,1270702.0,1193818.0,1182302.0
