,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_down < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,216861.85412620805,199721.95202986282,193300.47685183276,193060.6174853319,192169.32427233222,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24344.373522481816,22833.36062847875,21688.315654440314,18560.94356411667,16705.795812380416,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2219.849047745869,2083.892500007018,1956.694958630777,1733.6110365337595,1574.917126995881,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,1975.4732211980877,1859.8875064006522,1701.9781743331887,1697.6943386697526,1690.7598957205962,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3033.35210168789,2541.6026484102536,2425.3130591159043,2418.804281547204,2405.163880054087,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,78.86081528831008,63.463672156582525,62.71888967345381,57.69123149799171,52.50268240784633,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,140.48125486011762,68.33006097492473,66.17409855829663,66.03002330351984,65.53604098458595,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,48.97949734100702,21.58475972374482,20.80922049834784,20.701081032327895,20.510557581813764,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,38.40117961968356,17.85193561978598,16.85303535302097,16.815744822129588,16.673581569574193,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,75.08027101272951,36.44050487274859,33.62347452826262,33.55403052038741,33.33208461611525,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.60424509906157,2.454201080819687,2.3517932804620507,2.343411108425743,2.326131416732709,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,100.90696358741272,67.9325486434901,64.82384473950992,55.860589538517814,48.32691202902999,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,30.70076840233838,28.945718985379646,25.48663017946535,20.410162271190032,16.900433063741076,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,232894.0,220934.0,216868.0,213893.0,250856.0
