,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_down < 145,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,216861.85412620805,17139.902096345257,561.7791222500772,561.7791222500772,557.3477082177633,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24344.373522481816,1511.0128940030668,62.44136792648969,57.394615469754555,54.855549373060896,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2219.849047745869,135.95654773885113,8.75390565521636,8.08428636440972,7.479196299512832,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,1975.4732211980877,115.58571479743547,11.40197015999023,11.225847948667626,11.051608746378928,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3033.35210168789,491.7494532776366,20.497591439112654,20.497591439112654,20.497591439112654,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,78.86081528831008,15.397143131727546,0.5323635132329536,0.5323635132329536,0.5323635132329536,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,140.48125486011762,72.15119388519288,2.1638217320921402,2.1638217320921402,2.1291268511487806,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,48.97949734100702,27.394737617262194,0.9540129988524241,0.9540129988524241,0.9540129988524241,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,38.40117961968356,20.549243999897577,1.2616331260762952,1.2616331260762952,1.2560602382073944,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,75.08027101272951,38.63976613998092,3.2908390656222464,3.286120007618095,3.280571941837261,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.60424509906157,2.150044018241884,0.10653165864761611,0.10653165864761611,0.10653165864761611,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,100.90696358741272,32.974414943922625,1.4955433676750154,1.3457454124131254,1.1922390255217585,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,30.70076840233838,1.755049416958733,0.2553094219173394,0.21626137506207233,0.17328156947938053,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,17962.0,1008.0,996.0,986.0,250856.0
