,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1126208.5372077702,1204990.9790546389,1099336.1147222044,1036844.0848393111,1008111.0560891891,221418.13614493707,17626.985823337156,462.9443257567392,462.9443257567392,462.32656905747535,,,
TT,126178.01663528233,126178.01663528233,115918.45927403905,106593.53805175246,104938.62170419967,24482.226925837498,1521.4966091490896,68.92184142169505,62.569348371878974,60.96578580705696,,,
ST,11213.018738828068,11213.018738828068,10208.273559011384,9571.038859557377,9438.285937159068,2186.684197598914,128.80930549951805,8.936810501132353,8.717711325366428,8.094672021585195,,,
W+Jets,15930.077126498532,15930.077126498532,14867.542368205846,14082.691219129416,13826.530236295748,2649.2035737016568,191.68878186108452,13.794643916941233,13.794643916941233,13.794643916941233,,,
Z+Jets,22772.15825578505,22772.15825578505,20954.152074153593,19867.796934357008,19475.503492886084,7492.591140164508,2559.7694307044962,99.54053466550918,99.54053466550918,99.4266351974135,,,
Diboson,1008.6650414863541,1008.6650414863541,943.5555847122603,905.2491609263145,889.0362095561452,305.69577876250014,108.22268773640614,6.233296181562136,6.233296181562136,5.731087102158003,,,
ggFHbb,223.1087799478259,223.1087799478259,209.41596660422243,192.75749921763912,187.99129530075237,34.1006132671102,13.649039358605581,0.3781491555821225,0.3781491555821225,0.3781491555821225,,,
VBFHbb,71.28205035333777,71.28205035333777,66.95858134529635,63.678860780527096,62.576322776582195,9.766404406625778,4.532598325592081,0.17974136503036098,0.17974136503036098,0.17974136503036098,,,
ZHbb,67.12062616739404,67.12062616739404,62.544269533191866,60.27744918189762,59.032303185138204,12.765461913612256,6.13598288264599,0.21709264619972973,0.21709264619972973,0.21709264619972973,,,
WHbb,116.35029311753367,116.35029311753367,108.22893312289973,105.02386126671988,102.93753696062797,17.984523287926116,7.158621741836418,0.5965891097545369,0.5965891097545369,0.5946401250208269,,,
ggZHbb,10.311005316400477,10.311005316400477,9.502007335463656,8.972774631007276,8.830439394470925,2.022612148217479,0.7217315526290763,0.023745645041933945,0.023745645041933945,0.023457087410033734,,,
ttHbb,354.83801865944884,354.83801865944884,323.2086442340728,296.1427331988309,293.19279355263234,61.66203564993455,10.07762489247125,0.452366200041241,0.4196100299907151,0.374085663002049,,,
HWW,172.07437391871366,172.07437391871366,157.34052193301875,141.3674167442639,139.8360171025445,32.360383152582315,2.783757843810704,0.7078446268695263,0.6815187676179497,0.6443808254642777,,,
Data,1383108.0,1383108.0,,,,257195.0,19335.0,975.0,965.0,954.0,1270702.0,1193818.0,1182302.0
