,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_down < 145,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,216977.22694072413,17299.025713358013,590.3551486402241,590.3551486402241,580.7900437199088,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24464.597150005156,1518.0435518514728,63.29202478213049,58.05369870877483,55.342891401404145,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2220.2728706654825,136.29386001685342,8.920016641006313,8.250397350199673,7.645307285302787,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,1977.354317402953,115.64737506912901,11.580830904584436,11.404708693261835,11.230469490973135,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3094.1108401251226,511.5550331461651,20.833844607583032,20.833844607583032,20.833844607583032,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,79.7201819642386,16.352977284231606,0.3455932721345744,0.3455932721345744,0.3455932721345744,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,137.36003379948124,70.69340559124662,2.1092934686929494,2.1092934686929494,2.0745985877495903,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,48.013311639180685,26.78157532074701,1.0036575762106101,1.0036575762106101,1.0036575762106101,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,37.82749709048286,20.19888673776507,1.2518229750675962,1.2518229750675962,1.2462500871986955,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,73.83964349860298,38.0110272962691,3.2842253474540457,3.2795062894498948,3.2724087945349343,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.527263740346642,2.1116030576970193,0.10355746027563717,0.10355746027563717,0.10355746027563717,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,100.35408851908932,32.40596747087032,1.4592541476648415,1.3044519205579221,1.1588159831268414,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,30.83907148420772,1.7762206702070404,0.26408950142505117,0.22585158033240887,0.1828717747497171,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,17962.0,1008.0,996.0,986.0,250856.0
