,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_up < 145,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,217419.30546281373,17138.08561747606,578.4484023921075,578.4484023921075,568.8832974717922,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24007.35213611494,1493.403032848502,62.30964262326907,56.887009960225754,54.3479438635321,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2193.4949414228267,132.19165321031153,8.252495938260632,7.5828766474539915,6.977786582557104,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,1979.9946620472685,117.16919443586127,11.283782249699946,11.107660038377343,10.933420836088645,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3174.8702433382764,551.7751967147233,21.789073274376783,21.789073274376783,21.789073274376783,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,83.41627169768616,17.800866822389324,0.5323635132329536,0.5323635132329536,0.5323635132329536,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,136.5315533401636,70.18524112456502,2.124965799384537,2.124965799384537,2.0902709184411776,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,47.76535350044872,26.767358676295885,0.9943920784222061,0.9943920784222061,0.9943920784222061,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,37.54250974631402,20.046462277933585,1.2387682679417464,1.2387682679417464,1.233195380072846,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,73.22758148846484,37.64832328044216,3.2530783982880442,3.248359340283893,3.241261845368933,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.466439147367905,2.0865079362030454,0.10227888164244639,0.10227888164244639,0.10227888164244639,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,98.60883364751821,32.07515807189134,1.4467718505416163,1.3004760266404305,1.152395058584569,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,30.380617938287386,1.7182313125259643,0.232547936015583,0.20052829400238387,0.15754848841969207,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,17962.0,1008.0,996.0,986.0,250856.0
