,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.9190088385201398,0.9176210422036953,0.9122969413182195
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1200602.6007629426,1197348.6443478006,1104547.0875960502,1102740.2451124121,1097895.7291425697
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,116599.95090076892,103981.30488887471,92210.60579980828
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,10406.739448924864,9465.671360719316,8470.971887203146
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,14735.248177124195,14701.824166958033,14654.67246611781
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,16527.802774467553,16488.516825375747,16399.994020361104
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,735.1400831268293,699.9038897446987,657.5111830370222
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,118.83069782823124,118.50890749585295,117.71607895684042
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,34.5702626195899,34.37638854131194,34.11231919727691
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,33.82185049357222,33.73795206116671,33.43353444175514
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,63.43625607381106,63.28735582029798,62.79638013885441
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,6.377457754008497,6.357071664076266,6.30406004646172
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,286.00148024139133,252.06585376212362,218.18546229837858
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,158.30630794355912,131.71694054746354,108.82235045068049
Data,1383108.0,1383108.0,1383108.0,1383108.0,1383108.0,1284894.0,1267208.0,1248869.0
