,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.671413160994866,1.6672065519826909,0.5422142710751533,0.5412536831610107,0.5379281792438709,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2619443740833618,1.2595120643449336,0.42743331206069246,0.4267550519389887,0.4239576689918931,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3294823636754307,1.3264512910132678,0.5917256786823004,0.59068220725284,0.5865664403512328,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.140110980291475,2.1341285226103426,0.7043341390648367,0.7029469338796887,0.6980966839231381,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.033924821748091125,0.033835292174518944,0.011492444468873032,0.01144151672013316,0.011342873600025479,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.742276536413833,20.727523290457565,5.498461553388329,5.485670662135448,5.4476176664004345,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.75268707636393,34.72713157266033,9.246644470953012,9.224264921086863,9.163726234921407,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034870615332746886,0.034799811772878844,0.01665831955885346,0.01659821261963619,0.016479801321355604,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.8853036360409,18.87351206891294,4.966419459718183,4.954869966996076,4.92195454115954,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.088656652708224,0.08837484424937994,0.02726975493992318,0.027199007700697324,0.027066386676155782,,
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247569.2563443747,1244241.2895729458,989736.0339917237,988054.3720826099,983183.3033882763,,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114309.11741675786,113880.99428785002,91412.34983140593,81284.04682530418,71474.08036110841,,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9952.550898761065,9922.252662966415,8020.846786832543,7242.47438428238,6471.929703807604,,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14670.207513918298,14635.076456643055,12108.838399703183,12076.535773211412,12029.706147671548,,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21520.342568735658,21471.347787777064,12023.569217965494,11994.457313528306,11915.741935002157,,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,934.1584206040213,932.1822112933119,534.6092216299232,506.42819122678674,475.88239467974483,,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.02968880433406,223.30598847245,70.83148709640227,70.68955069821169,70.1013363199623,,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.12891712313305,65.94436262293111,19.900073021141623,19.820934201014975,19.64724935762601,,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.32995290467089,63.23930009367292,19.09954827141606,19.052743817142993,18.863346215407326,,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.64337241312307,108.51513014986577,36.555015543916646,36.47442016401767,36.2132907420161,,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.480593256960656,9.454908466117434,3.8164467302623306,3.8026476991871627,3.7662480603342363,,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.08860162114195,309.8926151597943,196.0629555600396,172.40457182597538,149.01188704349374,,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.1141335814762,149.4108853239785,120.542822973955,99.56394823650814,81.62483262115964,,
Data,1414872.0,1414872.0,1414872.0,,,1147439.0,1132804.0,1116698.0,1414872.0,1414872.0
