,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.542187458384658,0.5412268704705153,0.5378997692401841
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,0.4274790370339728,0.4267936468614194,0.42400420674304284
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,0.5916291957354765,0.590585724306016,0.5864699574044088
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,0.7048064395586995,0.703397166651128,0.6985487702238141
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.011503279197646769,0.01144988664317481,0.011351243523067132
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,5.498919919501614,5.486163428469483,5.44809522951793
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,9.247125973460772,9.224736476091664,9.16419087040302
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.01667804073967339,0.016618554905498774,0.016500143607218187
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,4.965935142852627,4.954379764115416,4.921465712321877
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.02727215579964881,0.027201408560422947,0.027068787535881413
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,990216.1201633295,988549.1923257334,983682.5894374106
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,91522.20073198747,81366.95178212559,71531.59566899501
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,8028.465559025532,7248.606646702327,6475.426834879395
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,12114.962805740633,12082.457040867139,12035.612536762997
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,12030.152212440837,12001.014888100088,11922.264037053774
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,534.0385200420062,505.84415917842995,475.29836263138804
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,70.97896134381715,70.83838088380242,70.25016650555304
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,19.951217913629037,19.872079093502393,19.689962569494455
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,19.098962248557314,19.051271115601615,18.861754185442734
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,36.560850981465876,36.48021012081598,36.22020441941558
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,3.8187478189469157,3.804948787871748,3.7684865029650734
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,196.26913656336373,172.56251800113012,149.11396946882263
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,120.76628093672662,99.71890688768312,81.74256794680986
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,1147439.0,1132804.0,1116698.0
