,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,0.9147081031687907,0.9147081031687907,0.9087910422523933,0.9039911771807736,0.009583006101330529,0.004381194011370422,0.004381194011370422,0.004357890672393658,,
QCD,717986.216814939,956785.8146709627,948644.7035294859,941689.1725997124,5.766758281634221,0.0,0.0,0.0,,
TT,63126.80979180276,63126.80979180276,62748.65359108715,62350.558550020374,1.7730969429889694,-0.014322698241955409,-0.014322698241955409,-0.014322698241955409,,
ST,5417.824558008516,5417.824558008516,5380.019529035428,5352.781145230527,0.055091396808934615,0.0,0.0,0.0,,
W+Jets,9487.889178263631,9487.889178263631,9424.098448265346,9376.427000646685,0.43288591168609253,0.09674163352935557,0.09674163352935557,0.09674163352935557,,
Z+Jets,12055.822300436781,12055.822300436781,11970.280347915328,11907.501953889905,0.13412189797405288,0.0,0.0,0.0,,
Diboson,544.751536187187,544.751536187187,541.0881926888653,539.2414054191454,0.0,0.0,0.0,0.0,,
ggFHbb,120.74204174793252,120.74204174793252,120.07042524743345,119.27825223478067,0.0,0.0,0.0,0.0,,
VBFHbb,32.24173303425971,32.24173303425971,32.11233185743809,31.972834248054944,0.0,0.0,0.0,0.0,,
ZHbb,32.70020301080715,32.70020301080715,32.50629199227846,32.37127325754241,0.0,0.0,0.0,0.0,,
WHbb,56.014320595270185,56.014320595270185,55.67763486575412,55.48629077310594,0.0,0.0,0.0,0.0,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8517784616619,4.8285634978383225,0.0002247348412580244,0.0,0.0,0.0,,
ttHbb,156.94119216557863,156.94119216557863,156.03648620372667,155.10345329641785,0.0053023453275395736,0.001073905122834825,0.001073905122834825,0.001073905122834825,,
HWW,80.56791059341468,80.56791059341468,80.16639644289663,79.67713590709836,0.07893740375718174,0.012051867493711397,0.012051867493711397,0.012051867493711397,,
Data,1047903.0,1047903.0,,,24.0,1.0,1.0,1.0,1047903.0,1047903.0
