,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.994
HHbbVV,0.9147081031687907,0.9147081031687907,0.9088022319312213,0.9037950499185726,0.0731610005431052,0.05091562523149355,0.046996374648120676,0.046938022970506144,0.046704293360375515,
QCD,717986.216814939,956785.8146709627,948406.4124347997,941617.267942029,75.16479498210198,5.1900386012671245,5.1900386012671245,5.1900386012671245,5.1900386012671245,
TT,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,24.010326236050805,4.359777518782701,4.41891567699142,4.0276621272661695,3.9538274757408582,
ST,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,1.5945431765646751,0.4289413504049467,0.4289413504049467,0.4289413504049467,0.4289413504049467,
W+Jets,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,5.331207674538432,1.076559265787108,1.076559265787108,1.076559265787108,1.076559265787108,
Z+Jets,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,3.232562587345854,1.2406866497136533,1.2406866497136533,1.2406866497136533,1.2406866497136533,
Diboson,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,0.0,0.0,0.0,0.0,0.0,
ggFHbb,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,0.019332181450584476,0.019332181450584476,0.019332181450584476,0.019332181450584476,0.019332181450584476,
VBFHbb,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,0.0,0.0,0.0,0.0,0.0,
ZHbb,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,0.008196364407564306,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,
WHbb,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,0.011204927029818902,0.006034579110384033,0.006034579110384033,0.006034579110384033,0.006034579110384033,
ggZHbb,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,0.0017792721456738902,0.0008642598710481218,0.0008642598710481218,0.0008642598710481218,0.0008642598710481218,
ttHbb,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,0.06997949299297532,0.019608352914536893,0.018534447791702078,0.017580648355384608,0.015568433516570647,
HWW,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,0.7355364377638234,0.2138189908900372,0.2017959100471251,0.19452350131543972,0.1816593832740494,
Data,1047903.0,1047903.0,1047903.0,1047903.0,,44.0,44.0,44.0,43.0,243.0
