,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1081035713714382,1.1080653903338389,0.3744368182454417,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.8015742076520919,0.8015566517004539,0.2798795517586103,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8397405576613581,0.8397405576613581,0.3782650709283245,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4337099666557058,1.4336942879626964,0.4929500917115567,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.007805167635864067,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,11.015391288747336,11.01533838984919,3.0134054627475493,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.522941581949745,18.522941581949745,5.122361051027377,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.010492035516703007,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.950412548332135,9.95038847828237,2.7159152864553198,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.018275188982081858,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1219439.4799126645,1219422.47933788,983803.9510620306,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76534.95448087924,76533.07862026204,60581.09161745417,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6616.778108324861,6616.821960574154,5346.7324702061605,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12421.078715069132,12420.818420918185,10398.60569223109,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14716.544046931334,14716.383412145502,8504.84395957218,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,432.8668005124813,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.81058175779788,138.81058175779788,45.78478794998247,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.591331153836336,40.591331153836336,12.992277040321706,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.55979972772222,38.55979972772222,11.954584674298655,,
WHbb,66.232275837835,66.232275837835,66.232275837835,66.23173382727803,66.2285336555317,23.214875627993948,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.921287148529628,5.921287148529628,2.369231479434375,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,187.97421160742965,187.97065844812124,117.51557058302265,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.55627725126962,97.5572062066977,78.27985386070976,,
Data,1331012.0,1331012.0,1331012.0,,,1100458.0,1331012.0,1331012.0
