,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.994
HHbbVV,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.20659286397516757,0.14102698800060004,0.12524308390221345,0.1250230913804155,0.12455241889928728,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,0.15605308551528746,0.10639109267047299,0.09283840211706897,0.09272988573811466,0.09232527942577737,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,0.11883433562314218,0.08191342083778508,0.07021774096177918,0.07006687570022758,0.06989261518767564,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,0.25163975991443643,0.1695371092508437,0.15172450187197678,0.15152667543319615,0.1509184376871504,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.0037979751745726167,0.002688254894462948,0.0016116790584976381,0.0016073973955077574,0.0016044407602252946,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,3.8119386049243587,2.8710848860900544,1.2228934736592916,1.2203909449723864,1.2167699497779851,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,6.335078103200082,4.759723892476235,2.0377232158002143,2.033088412424487,2.0231262680551043,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.002286863864158075,0.0016305373559265942,0.0010362750152812048,0.0010344135440430427,0.0010344135440430427,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,3.4982575620736567,2.6291803563243334,1.0978615454213827,1.095516658558203,1.0904728484099362,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.013403067567932078,0.009711446401241776,0.00557197835685269,0.005557911769732075,0.005545250434024566,
QCD,1126208.5372077704,1204990.9790546382,1200602.6007629426,1197348.6443478006,149.2237836426266,25.320271658871498,24.65208824758526,24.65208824758526,24.65208824758526,
TT,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,61.491448773909724,10.853743415754376,10.853743415754376,9.68801156971052,8.803925955686795,
ST,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,5.546772937078095,1.5984770806583886,1.5984770806583886,1.5821433806765661,1.5821433806765661,
W+Jets,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,14.22409142801133,3.712405923624185,3.5924479991389733,3.5924479991389733,3.5924479991389733,
Z+Jets,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,8.806975041022296,3.034600751528189,3.034600751528189,3.034600751528189,3.034600751528189,
Diboson,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,1.0762628561443077,1.0762628561443077,1.0762628561443077,1.0762628561443077,1.0762628561443077,
ggFHbb,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,
VBFHbb,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0,0.0,
ZHbb,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.01820748622605914,0.01588486812092205,0.013193474354051986,0.013193474354051986,0.013193474354051986,
WHbb,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.057365085001269044,0.03462059952845231,0.03340909212152154,0.03340909212152154,0.03340909212152154,
ggZHbb,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.0031193878459366614,0.0026555977954472823,0.0023400886512921337,0.0023400886512921337,0.0023400886512921337,
ttHbb,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.18423016586484242,0.06416920184034597,0.06416920184034597,0.06141671862159605,0.05694205741184667,
HWW,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,2.199776631509941,0.549684720582589,0.5034373696537937,0.47106499041100647,0.44552887189278784,
Data,1383108.0,1383108.0,1383108.0,1383108.0,,96.0,95.0,93.0,92.0,472.0
