,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.03493054500944019,0.017464973216832966,0.017437513701838037,0.017384853066000933
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,0.031235552793017214,0.01573096939537882,0.01573096939537882,0.015707585017614264
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,0.025416816598543016,0.013413027041960998,0.013413027041960998,0.013413027041960998
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,0.04215961916511277,0.02081882009515976,0.02081882009515976,0.020735529647543577
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.0033512674986562953,0.0017913960536435716,0.0017898305343406287,0.0017840232915277937
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,6.205125746902395,3.767106032259208,3.7629950274836848,3.751486679733116
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,10.147258332602767,6.142430165360118,6.135197169664353,6.116005107417704
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.0018336460545392602,0.0009828590497154284,0.000981636065391587,0.0009805383955923612
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,5.811953193544172,3.529480138738988,3.524927315940172,3.513172912226294
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.011785099681646639,0.006494985021636579,0.006494985021636579,0.006443101290525217
QCD,1126208.5372077704,1204990.9790546382,1200602.6007629426,1197348.6443478006,28.054246643507533,2.1282289447162337,2.1282289447162337,2.1282289447162337
TT,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,6.711647574308787,0.22283952459049777,0.22283952459049777,0.22283952459049777
ST,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,0.4852390242150444,0.0,0.0,0.0
W+Jets,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,1.7753337754403034,0.23249108906932253,0.23249108906932253,0.23249108906932253
Z+Jets,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,0.9159599339092133,0.16585144497909934,0.16585144497909934,0.16585144497909934
Diboson,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.0,0.0,0.0,0.0
ggFHbb,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.0,0.0,0.0,0.0
VBFHbb,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0
ZHbb,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.005364808223719335,0.0080872919920888,0.0080872919920888,0.0080872919920888
WHbb,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.004085057828085782,0.0012115074069307728,0.0012115074069307728,0.0012115074069307728
ggZHbb,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488
ttHbb,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.013592377506338372,0.0018201593182085546,0.0018201593182085546,0.0018201593182085546
HWW,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,0.3452618821582025,0.056496531098282766,0.056496531098282766,0.056496531098282766
Data,1383108.0,1383108.0,1383108.0,1383108.0,69.0,5.0,5.0,5.0
