,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.6956488206244413,1.6870219762186835,0.03495302068082702,0.017485303020843633,0.017457843505848704,0.017405182870011596,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3165197593868019,1.3110214829059383,0.03123798935825132,0.01573070329034027,0.01573070329034027,0.015707318912575714,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4462305900962389,1.4392955507192307,0.025416816598543016,0.013413027041960998,0.013413027041960998,0.013413027041960998,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.137570596615636,2.1263297666407253,0.041979166689625196,0.02071227886609005,0.02071227886609005,0.020628988418473868,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03908003702313971,0.03885051323503232,0.003340181130760405,0.0017810377899646203,0.0017794722706616771,0.0017736650278488426,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.742252257394117,25.704945059660464,6.201956735588046,3.7656121771815734,3.7615011724060503,3.749992824655482,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.8629150243242,42.79297341024497,10.14211874895506,6.139707181894805,6.13247418619904,6.113431073921187,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04073303080960986,0.0405174122694524,0.0018255790600964269,0.0009762906893174726,0.0009750677049936313,0.0009739700351944056,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.573988818796686,23.541072415448003,5.809632163042141,3.528579703093093,3.5240268802942776,3.5122724765803994,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.09962742189198046,0.09895818332933407,0.011742754630467062,0.00649112224712994,0.00649112224712994,0.0064392385160185785,,
QCD,1126208.5372077704,1204990.9790546382,1195580.4197497359,1188493.8378485164,28.054246643507533,2.1282289447162337,2.1282289447162337,2.1282289447162337,,
TT,126178.01663528237,126178.01663528237,125277.51309674431,124328.8175008741,6.711647574308787,0.22283952459049777,0.22283952459049777,0.22283952459049777,,
ST,11213.018738828063,11213.018738828063,11119.661879992498,11058.864901644467,0.4852390242150444,0.0,0.0,0.0,,
W+Jets,15930.077126498532,15930.077126498532,15826.798062580072,15744.192115021908,1.7753337754403034,0.23249108906932253,0.23249108906932253,0.23249108906932253,,
Z+Jets,22772.15825578505,22772.15825578505,22591.343797623595,22477.3522387971,0.9159599339092133,0.16585144497909934,0.16585144497909934,0.16585144497909934,,
Diboson,1008.665041486354,1008.665041486354,1001.555468829989,995.7367767362746,0.0,0.0,0.0,0.0,,
ggFHbb,223.1087799478259,223.1087799478259,222.20721408699214,220.60052287185852,0.0,0.0,0.0,0.0,,
VBFHbb,71.28205035333777,71.28205035333777,70.93247270180143,70.49767611071601,0.0,0.0,0.0,0.0,,
ZHbb,67.12062616739404,67.12062616739404,66.73802979718431,66.52688948307338,0.005364808223719335,0.0080872919920888,0.0080872919920888,0.0080872919920888,,
WHbb,116.35029311753367,116.35029311753367,115.70531888025883,115.43919849488618,0.004085057828085782,0.0012115074069307728,0.0012115074069307728,0.0012115074069307728,,
ggZHbb,10.311005316400479,10.311005316400479,10.25139710473921,10.200185500756241,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,,
ttHbb,354.83801865944884,354.83801865944884,351.98243580111443,349.16857078942746,0.013592377506338372,0.0018201593182085546,0.0018201593182085546,0.0018201593182085546,,
HWW,172.07437391871363,172.07437391871363,170.7911521048616,169.23726416010865,0.3452618821582025,0.056496531098282766,0.056496531098282766,0.056496531098282766,,
Data,1383108.0,1383108.0,,,69.0,5.0,5.0,5.0,1383108.0,1383108.0
