,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.994
HHbbVV,1.706591057896172,1.706591057896172,1.7013385194247648,1.6968562725452987,0.2068823406478017,0.14114130222934596,0.12537798778736556,0.1251579952655676,0.12467395210776547,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3199485321453277,1.3172305214118927,0.1559454758297564,0.10631602288382302,0.09276307505417658,0.09265455867522226,0.0922427900270493,,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4506590439414464,1.447183638241645,0.11919004312304521,0.08223223903948637,0.07053655916348048,0.07038569390192888,0.07021143338937695,,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1449347408091266,2.1396830183260027,0.25131988992431775,0.16947940656299768,0.15164573417887708,0.15144960739148036,0.15084136964543465,,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.039239450664272105,0.039121885409098195,0.0037670426493751127,0.0026585439131501768,0.0015913646652469735,0.001587083002257093,0.0015841263669746303,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.7706457909178,25.75278049731667,3.813928820944942,2.874337504201191,1.2254737555401687,1.2229712268532635,1.2192812138554348,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.91561142064744,42.88083142315535,6.3436857791602295,4.769993677680453,2.0432422099038194,2.0389024901829815,2.028510896251844,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.040881686129010684,0.04077054391692691,0.002283223975089668,0.0016262531790700993,0.001039635301434739,0.0010377738301965767,0.0010377738301965767,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.600937356829764,23.58456212433502,3.50458674300681,2.633480094229747,1.0983507570824138,1.0959995015811694,1.0910205109961775,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.0999103447043077,0.09957660932693446,0.013352843660359536,0.009673814416112496,0.005545716018510477,0.005531649431389863,0.0055189880956823525,,,
QCD,1126208.5372077704,1204990.9790546382,1200382.012896498,1196872.1266944017,140.31781490361973,25.320271658871498,24.65208824758526,24.65208824758526,24.65208824758526,,,
TT,126178.01663528237,126178.01663528237,125746.98835116654,125293.22760802964,61.59169633206858,10.93755428929867,10.93755428929867,9.583614288566622,8.699528674542897,,,
ST,11213.018738828063,11213.018738828063,11168.928717403302,11142.405760436903,5.500611915746675,1.5516760602900406,1.5516760602900406,1.535342360308218,1.535342360308218,,,
W+Jets,15930.077126498532,15930.077126498532,15875.910881821987,15834.447832733507,14.603485692123703,3.712405923624185,3.5924479991389733,3.5924479991389733,3.5924479991389733,,,
Z+Jets,22772.15825578505,22772.15825578505,22683.690019930553,22627.89307859461,8.753091280652953,2.9960838221514257,2.9960838221514257,2.9960838221514257,2.9960838221514257,,,
Diboson,1008.665041486354,1008.665041486354,1005.8693429051912,1002.8762851988342,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,223.1087799478259,223.1087799478259,222.72256516683834,221.885637181582,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,,,
VBFHbb,71.28205035333777,71.28205035333777,71.09353616711309,70.92054851701442,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,67.12062616739404,67.12062616739404,66.91738349689737,66.80075080682559,0.01820748622605914,0.01588486812092205,0.013193474354051986,0.013193474354051986,0.013193474354051986,,,
WHbb,116.35029311753367,116.35029311753367,116.02018260223909,115.8886531559248,0.057365085001269044,0.03462059952845231,0.03340909212152154,0.03340909212152154,0.03340909212152154,,,
ggZHbb,10.311005316400479,10.311005316400479,10.280393102764487,10.256855442553917,0.0035402289811631224,0.00277513491813367,0.002459625773978521,0.002459625773978521,0.002459625773978521,,,
ttHbb,354.83801865944884,354.83801865944884,353.41729440378543,352.01734089665155,0.17936637526152588,0.06482191786846199,0.06482191786846199,0.06206943464971206,0.05759477343996268,,,
HWW,172.07437391871363,172.07437391871363,171.4077847036248,170.61905764119348,2.1842529180274335,0.5390188462021801,0.4927714952733846,0.46673227160972175,0.4417147988897392,,,
Data,1383108.0,1383108.0,,,,96.0,95.0,93.0,92.0,1383108.0,1383108.0,472.0
