,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.997,bbFatJetParticleNetMD_Txbb >= 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,6.936759082108167,4.146042018452467,4.141037954738622,4.128195900533633
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,99.92956812022959,11.478575000865623,11.478575000865623,11.478575000865623
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,23.672088032166325,1.5402771970748466,1.4181516429314607,1.4181516429314607
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,3.617237572587359,0.049358687466267495,0.049358687466267495,0.0
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,4.482325310466723,0.3136892145038843,0.3136892145038843,0.3136892145038843
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,3.3789956535014793,0.5418116846548554,0.5418116846548554,0.5418116846548554
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.7699059939170368,0.0,0.0,0.0
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.04502725349798288,0.04502725349798288,0.04502725349798288,0.04502725349798288
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.06592544251445992,0.03458480616472361,0.03458480616472361,0.03458480616472361
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.012409841011830045,0.006727750365174198,0.006727750365174198,0.006727750365174198
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.013116592133848361,0.005234463548541498,0.005234463548541498,0.005234463548541498
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.001721777141990995,0.00038900128644748995,0.00038900128644748995,0.00038900128644748995
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.03960839987739014,0.007824062860702478,0.007824062860702478,0.008197783364669321
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,0.6930555067554862,0.11986489602197725,0.11552451161821635,0.11200911917732889
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,253.0,31.0,31.0,29.0
