,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1081035713714382,1.1080653903338389,0.011021769367576756,0.005530963961569239,0.005530963961569239,0.005530963961569239,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.8015742076520919,0.8015566517004539,0.010073973862557112,0.005476675265141947,0.005476675265141947,0.0054720235631463285,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8397405576613581,0.8397405576613581,0.0070220712350087195,0.0038024510060868546,0.0038024510060868546,0.0038024510060868546,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4337099666557058,1.4336942879626964,0.014133356104556205,0.00800004492118401,0.00800004492118401,0.00800004492118401,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.0013124201623991019,0.0007015537221486067,0.0007015537221486067,0.0006919879842187387,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,11.015391288747336,11.01533838984919,2.0592893723214463,1.240918624190932,1.239129795853514,1.2357069521100172,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.522941581949745,18.522941581949745,3.3394325669833758,1.9923761894083691,1.9887147756757746,1.982864776595692,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.0006592127259378712,0.0003747905165353795,0.0003747905165353795,0.0003747905165353795,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.950412548332135,9.95038847828237,1.946293083676719,1.167436271541144,1.1656504830896706,1.1626534186723936,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.003874969907713427,0.0019887798691606015,0.0019887798691606015,0.001980569478531074,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1219439.4799126645,1219422.47933788,7.71705682833504,6.049274062699175,6.049274062699175,6.049274062699175,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76534.95448087924,76533.07862026204,3.027786048276932,0.26235626208860474,0.17590585443471063,0.17590585443471063,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6616.778108324861,6616.821960574154,0.262844709582459,0.0,0.0,0.0,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12421.078715069132,12420.818420918185,0.8767605906549117,0.0,0.0,0.0,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14716.544046931334,14716.383412145502,0.0641416456478138,0.0,0.0,0.0,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,0.0,0.0,0.0,0.0,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.81058175779788,138.81058175779788,0.0,0.0,0.0,0.0,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.591331153836336,40.591331153836336,0.0,0.0,0.0,0.0,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.55979972772222,38.55979972772222,0.0,0.0,0.0,0.0,,
WHbb,66.232275837835,66.232275837835,66.232275837835,66.23173382727803,66.2285336555317,0.0,0.0,0.0,0.0,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.921287148529628,5.921287148529628,0.0,0.0,0.0,0.0,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,187.97421160742965,187.97065844812124,0.006165574380285853,0.0,0.0,0.0,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.55627725126962,97.5572062066977,0.12619585600602218,0.022886908957980946,0.02164348178097288,0.01978289958424393,,
Data,1331012.0,1331012.0,1331012.0,,,33.0,3.0,3.0,3.0,1331012.0,1331012.0
