,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.887553469452063,1.0115757791730522,0.5164405593832334,0.5161076036841512,0.5143719511681697
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121638.57524372972,9388.086666222605,205.64609374189683,205.64609374189683,205.64609374189683
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9404.357880899253,615.9366510166521,25.170709438929727,23.004692106879023,21.953122232528322
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,828.8934970744165,57.59803660687562,4.757396457352574,4.434893291172006,4.434893291172006
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1359.1652819492053,95.76848727293175,4.680657516727737,4.680657516727737,4.680657516727737
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3128.706542521358,1043.94325453699,33.92285731025946,33.77042156173942,33.64206188487479
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,125.25916905661516,43.15273969058691,2.2724211085862995,2.1846871197330033,2.1846871197330033
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,14.930449274096752,5.611963805698506,0.06205812997154596,0.06205812997154596,0.06205812997154596
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,4.157152227108506,1.834466438294026,0.05841424048708599,0.05841424048708599,0.05841424048708599
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.138917879020094,2.601334215004604,0.09190121065057677,0.09190121065057677,0.09092215283315455
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,7.269145207260217,3.0439217872666227,0.2179400337571484,0.2179400337571484,0.21388370403172574
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7911679898078906,0.30439087090914396,0.007825244585753564,0.007825244585753564,0.007825244585753564
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,22.99928818930004,4.059049078023467,0.15873166944579636,0.1462156041487943,0.13362104373738734
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.057515282537953,1.1493573589404735,0.235231473684712,0.2266628233869784,0.21994718024421323
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,123461.0,8704.0,408.0,405.0,401.0
