,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.887553469452063,0.8759776902790111,0.4500855251664466,0.4490439557556883,0.4453602217299206
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121638.57524372972,112250.4885775071,109383.96499097702,109263.71752298155,108766.47336139703
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9404.357880899253,8788.4212298826,8389.075963218176,7372.640475690042,6646.073532941193
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,828.8934970744165,771.2954604675407,732.7886966199502,671.1564870152187,611.5383622171498
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1359.1652819492053,1263.3967946762737,1199.2230581475392,1196.011236725091,1192.2058730230374
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3128.706542521358,2084.763287984368,2013.8755438964827,2009.4265246905195,1999.5768259757688
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,125.25916905661516,82.10642936602827,78.74305131349618,74.73744553036525,71.79617975734185
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,14.930449274096752,9.318485468398245,9.21083612399828,9.196344347334563,9.113158116201106
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,4.157152227108506,2.3226857888144807,2.2722388083425793,2.263586730399933,2.2577094645047193
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.138917879020094,2.5375836640154903,2.4276281184277266,2.4218858925037323,2.38790521626753
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,7.269145207260217,4.225223419993594,3.968542716948199,3.96296689129099,3.935392057582778
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7911679898078906,0.48677711889874664,0.471434903735124,0.4693644492571064,0.46387099698232925
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,22.99928818930004,18.940239111276572,18.1696067744201,15.859208869597742,13.952472753047282
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.057515282537953,10.908157923597479,9.506118666575073,7.6283771267477025,6.390385118096988
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,123461.0,114757.0,109564.0,108079.0,106711.0
