,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,9.73164678340094,3.616968854334545,1.862517663893684,1.8592077033650158,1.8516383526660454
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121443.78217337315,111436.43046076389,108169.530797412,107867.30912758487,107462.31542478621
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9543.702690680302,8903.635833765455,8505.80933968646,7343.426879441372,6635.066893761862
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,839.0575234630037,772.3418614056507,734.597899811925,655.8048860775623,594.2100565028666
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,901.8125979819712,845.0868682437481,789.4753066148965,787.5186337784015,784.8856364927848
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1378.5038935580644,1130.0476371281798,1083.8187735779343,1080.7347988961712,1074.2484455534359
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,41.7335911099583,33.011189134276066,31.307957731317032,29.42398280013356,28.395172531312966
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,53.16332193118329,25.311175365932822,24.769475921361213,24.745737561468978,24.67406688154134
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,16.12831624613876,7.155893030892842,6.9490974752302,6.928538836351109,6.888318561540691
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,13.779815521829281,6.5825515686845915,6.273807486715361,6.258872540809008,6.222596620390691
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,26.532975588579433,12.943147734827871,12.12217836758376,12.087546425380705,12.012932520763268
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.650544204922915,0.8846379878181899,0.8500699852257831,0.8484867013859793,0.8420290306709097
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,35.728579653972574,24.31843952474041,23.28782977839329,20.207726786112204,17.49959786389178
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.119449469298782,11.297884272260449,10.074551874586167,8.116425500999828,6.761470429435353
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,121852.0,113523.0,108395.0,106670.0,105292.0
