,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.1000283455508442,1.093563222944563,0.36881957801286125,0.36818079259298936,0.36632536557547357,,
QCD,900603.372757249,1219440.0804636534,1208523.5722318934,1200033.7819080197,968333.4816015975,966724.1991945556,963625.4912420575,,
TT,76537.02908224265,76537.02908224265,76057.90175062326,75546.39913344698,59791.400372422875,53607.709190787704,47386.115143169416,,
ST,6617.229257123121,6617.229257123121,6569.594060609604,6535.389534232395,5281.431876922224,4831.657425221724,4357.10588828644,,
W+Jets,12421.273275458932,12421.273275458932,12341.825146611021,12264.924202464117,10268.312380642396,10241.188198155278,10215.417120054308,,
Z+Jets,14717.02364266734,14717.02364266734,14601.95480697945,14517.83317032325,8391.421257069986,8370.618919587834,8331.609259651776,,
Diboson,703.6912877316817,703.6912877316817,699.274850691623,695.7930322677172,427.8893356031577,408.7025615995916,391.4710570613885,,
ggFHbb,138.81856362723408,138.81856362723408,138.1359310079184,137.16716893739732,45.29711139715256,45.137408353555166,44.73799269830046,,
VBFHbb,40.60062332311162,40.60062332311162,40.474722810632116,40.36086441370259,12.918779347138004,12.896075435381134,12.789893451351205,,
ZHbb,38.56092725636813,38.56092725636813,38.29663889299799,38.13726355471172,11.809667152238447,11.758016731888969,11.676586849348773,,
WHbb,66.232275837835,66.232275837835,65.79172252987414,65.57398960849181,22.928034541851552,22.88394937325231,22.7548990522434,,
ggZHbb,5.921431593700421,5.921431593700421,5.887904683527691,5.855217962847878,2.3434904878624687,2.337960991147442,2.3189724813128327,,
ttHbb,187.9810602386041,187.9810602386041,186.88290996039103,185.72296875559454,116.09877758960441,102.82461475386307,89.19513106593017,,
HWW,97.55810924622651,97.55810924622651,97.04385400611787,96.33153606063196,77.29816288915787,64.59503013481468,53.56769764938811,,
Data,1331012.0,1331012.0,,,1100458.0,1090240.0,1078427.0,1331012.0,1331012.0
