,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.1081035713714382,1.1080653903338389,0.3744368182454417,0.3738041182368086,0.3718952343303235,,
QCD,900603.372757249,1219440.0804636534,1219439.4799126645,1219422.47933788,983803.9510620306,982157.6313555638,978967.0192317961,,
TT,76537.02908224265,76537.02908224265,76534.95448087924,76533.07862026204,60581.09161745417,54307.520362390154,47992.442901525355,,
ST,6617.229257123121,6617.229257123121,6616.778108324861,6616.821960574154,5346.7324702061605,4888.024616212377,4408.351439540079,,
W+Jets,12421.273275458932,12421.273275458932,12421.078715069132,12420.818420918185,10398.60569223109,10371.006698381132,10344.660714081547,,
Z+Jets,14717.02364266734,14717.02364266734,14716.544046931334,14716.383412145502,8504.84395957218,8483.67089260777,8443.517523679762,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,432.8668005124813,413.46544173262964,395.88075032990525,,
ggFHbb,138.81856362723408,138.81856362723408,138.81058175779788,138.81058175779788,45.78478794998247,45.625084906385084,45.22566925113037,,
VBFHbb,40.60062332311162,40.60062332311162,40.591331153836336,40.591331153836336,12.992277040321706,12.969573128564836,12.863391144534907,,
ZHbb,38.56092725636813,38.56092725636813,38.55979972772222,38.55979972772222,11.954584674298655,11.902934253949173,11.818449246519354,,
WHbb,66.232275837835,66.232275837835,66.23173382727803,66.2285336555317,23.214875627993948,23.170790459394702,23.041336654550758,,
ggZHbb,5.921431593700421,5.921431593700421,5.921287148529628,5.921287148529628,2.369231479434375,2.363701982719348,2.344713472884738,,
ttHbb,187.9810602386041,187.9810602386041,187.97421160742965,187.97065844812124,117.51557058302265,104.04513431903834,90.22800043417257,,
HWW,97.55810924622651,97.55810924622651,97.55627725126962,97.5572062066977,78.27985386070976,65.42662168705513,54.214557931711674,,
Data,1331012.0,1331012.0,,,1100458.0,1090240.0,1078427.0,1331012.0,1331012.0
