,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.3689082675908363,0.36827657175589595,0.3664211447383801
QCD,900603.372757249,1219440.0804636534,1208187.047601593,1199914.6854996895,968194.6958131382,966575.8329570786,963477.1843784222
TT,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,59756.04620421225,53581.011783496266,47369.53176682067
ST,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,5277.663381085969,4827.68892161338,4353.263702426815
W+Jets,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,10267.98041055657,10240.771375918208,10214.924023501666
Z+Jets,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,8391.373012782422,8370.619662623449,8331.43470986793
Diboson,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,427.8095451515573,408.6227711479913,391.3912666097881
ggFHbb,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,45.30216339603112,45.142460352433716,44.74304469717901
VBFHbb,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,12.910667691672323,12.88796377991545,12.781781795885522
ZHbb,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,11.799771340315372,11.748120919965892,11.666691037425696
WHbb,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,22.935801367330377,22.891716198731135,22.762665877722227
ggZHbb,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,2.3432337853521314,2.337704288637104,2.3187157788024946
ttHbb,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,116.0286360102471,102.76848179845926,89.14805678548099
HWW,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,77.25306730184919,64.56532116288594,53.54802832202656
Data,1331012.0,1331012.0,1331012.0,1331012.0,1100458.0,1090240.0,1078427.0
