,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.0917069850409113,1.0781356268307336,0.011009117010780157,0.005530963961569239,0.005530963961569239,0.005530963961569239,,
QCD,900603.372757249,1219440.0804636534,1195253.18073095,1177719.865509848,7.71705682833504,6.049274062699175,6.049274062699175,6.049274062699175,,
TT,76537.02908224265,76537.02908224265,75455.8672753345,74346.61812260182,2.999016999001345,0.26235626208860474,0.17590585443471063,0.17590585443471063,,
ST,6617.229257123121,6617.229257123121,6513.894336293484,6437.416751030387,0.262844709582459,0.0,0.0,0.0,,
W+Jets,12421.273275458932,12421.273275458932,12242.321861551814,12084.680852048914,0.8767605906549117,0.0,0.0,0.0,,
Z+Jets,14717.02364266734,14717.02364266734,14468.821057932211,14291.993481946272,0.0641416456478138,0.0,0.0,0.0,,
Diboson,703.6912877316817,703.6912877316817,693.0662177097603,685.7998823459604,0.0,0.0,0.0,0.0,,
ggFHbb,138.81856362723408,138.81856362723408,137.1939721773011,135.31119077640614,0.0,0.0,0.0,0.0,,
VBFHbb,40.60062332311162,40.60062332311162,40.24272494114581,39.87078912776376,0.0,0.0,0.0,0.0,,
ZHbb,38.56092725636813,38.56092725636813,38.05426925581597,37.73628835069991,0.0,0.0,0.0,0.0,,
WHbb,66.232275837835,66.232275837835,65.32166411216625,64.87958091280734,0.0,0.0,0.0,0.0,,
ggZHbb,5.921431593700421,5.921431593700421,5.849255584936747,5.77720182418215,0.0,0.0,0.0,0.0,,
ttHbb,187.9810602386041,187.9810602386041,185.57110999047728,183.10434371442994,0.006165574380285853,0.0,0.0,0.0,,
HWW,97.55810924622651,97.55810924622651,96.30840345343226,94.86719745065234,0.12565653995308684,0.022886908957980946,0.02164348178097288,0.01978289958424393,,
Data,1331012.0,1331012.0,,,33.0,3.0,3.0,3.0,1331012.0,1331012.0
