,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,0 ≤ nGoodElectronsHH < 0.9,0 ≤ nGoodMuonsHH < 0.9
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.5617368524345282,0.5592997647173343,0.5505213080352945
QCD,1126208.5372077704,1203074.9790546377,1203074.9790546377,1198693.5785187539,1195444.796068065,962274.9886555249,959082.6446460818,947539.2212929868
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,101312.23410597659,88690.94001412821,73597.14585214629
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,9151.885931034849,8218.767592942599,7056.432116362054
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,13176.130441631436,13141.916134597863,13040.416607347584
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,13017.869943463393,12962.867289878339,12776.330325278392
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,587.0680898927101,553.9656732951883,521.2190130485701
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,73.82532993263385,73.41340639536682,72.24172748807811
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,21.048785848640396,20.92674499831368,20.60464429355149
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,20.859058066676788,20.754359524807256,20.302903764835726
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,39.43506289899327,39.25640888665501,38.54882435168647
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,4.348167895135202,4.319302374467925,4.221455181909121
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,225.23463133385022,193.03924749104925,154.9214447501036
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,139.29958230013366,109.74952418488044,80.3507686711394
Data,1381192.0,1381192.0,1381192.0,1381192.0,1381192.0,1136042.0,1118486.0,1092048.0
