,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.7075985364556217,1.707577313853422,0.5654862331856461,0.5645318135032824,0.561024491554138
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3241021014867034,1.3240873922312537,0.4624640423495674,0.4614228763413746,0.45841216701397747
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.450796933435709,1.4507929098073984,0.6600898734031618,0.6591424356371828,0.6554525113558254
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.147806420302488,2.1477186419747176,0.7196802590858418,0.7182138483842827,0.7131221325953405
VBFHHbbVV,0.039351255043260674,0.03934698435071139,0.03934677884299076,0.013895362075864833,0.013830940798802472,0.01373102571042306
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.850419822107078,25.850351817971422,6.901114172570285,6.886544609892755,6.847751675129137
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,43.05066644466481,43.050235311548946,11.564544225215306,11.537058453495064,11.462962163041578
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.0412150601628429,0.041211004244295794,0.02006568281342968,0.02000003558154639,0.019844767905840378
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.63577445845703,23.635591489542456,6.303391641227639,6.29071629551554,6.252432256713171
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09948828864083283,0.09948751038982892,0.030507939125937467,0.030455832180625666,0.030175884977497944
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.992659423170474,13.992624901671212,3.762831861015079,3.754711945047067,3.7333406924134627
