,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.7022678942821197,1.697912134457557,1.1361268909219424,1.1343926547749816,1.1287786890074416
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.320316884193909,1.3176400977779368,0.8578894941108924,0.8566662066822566,0.8523436845141955
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.44730905094112,1.4438382072429978,0.7871300776744075,0.7860243175975257,0.7823872502439746
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.140164387110753,2.1348246689713717,1.4203602221959941,1.4180068853618348,1.411620390523534
VBFHHbbVV,0.039351255043260674,0.03920160683130938,0.03907939297034425,0.025284542596745372,0.025239368005276815,0.025103006422437006
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.818577947810173,25.800578505321255,18.916281459696336,18.882512437199523,18.80549273414908
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.99320154541183,42.95875429378178,31.42721091543036,31.36617020238223,31.226469000288066
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.04103715673797558,0.040940360012980695,0.021032544762093243,0.020965176822502964,0.020859828724732316
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.607950811790502,23.591824563703163,17.303961495404522,17.272712855205064,17.200006928909367
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09916950464938773,0.09883691717809162,0.06857602794571654,0.06838486050847707,0.06800160544864108
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.974959221401965,13.965111361149063,10.21120901564646,10.19311735289616,10.150424832152613
