,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.702520171625074,1.6982652728024297,1.136332508910174,1.1345795209234646,1.1289633804871153
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3205865338699505,1.3179815656554148,0.8580797917602586,0.8568570176057773,0.8525427323545427
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.4476068021072082,1.4442839363403324,0.787233893078498,0.7861281330016161,0.7824396792801661
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.1404933898792873,2.1353347498037487,1.4207441221134351,1.4183907852792759,1.4120036283554944
VBFHHbbVV,0.039351255043260674,0.03920695729906934,0.03907497453217168,0.02528240741676218,0.02523723282529362,0.025100871242453814
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.821883109051342,25.80402102276243,18.91832313835211,18.884516418626195,18.807519885603845
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.997215163068525,42.96260683262052,31.430491455154296,31.36945785319212,31.229380180371237
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.041054284373482686,0.04094876568163727,0.021026959858154202,0.02095959191856393,0.020854243820793282
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.61028728937363,23.59518287714358,17.30603516130156,17.274806468450677,17.202114933319
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09916880555615576,0.09887153728314756,0.06861844526660596,0.06842727782936649,0.06804306708618811
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.976532185961757,13.96675801433889,10.212397786185845,10.194286701793558,10.151595213973081
