,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.7022678942821197,1.697912134457557,0.18294108669662304,0.12591866292605255,0.1105356935993689,0.1103635492105502,0.10990899886759614
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.320316884193909,1.3176400977779368,0.13891992460314512,0.09522789849243664,0.0816830146732947,0.0815717733636264,0.08118921556321002
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.44730905094112,1.4438382072429978,0.10861575085855485,0.07376671914350338,0.06360421839169073,0.0635309064503752,0.06343872780729534
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.140164387110753,2.1348246689713717,0.21999738089870624,0.14830981137623322,0.1300899861761258,0.12994560848939987,0.12942772776867623
VBFHHbbVV,0.039351255043260674,0.03920160683130938,0.03907939297034425,0.0034541998733018248,0.002406650396567969,0.0014275495752997915,0.0014235222724802263,0.0014205656371977637
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.818577947810173,25.800578505321255,3.420864482856085,2.579925674740779,1.0650895310307509,1.0630445830863509,1.058988647386721
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.99320154541183,42.95875429378178,5.682055786532655,4.278295432757246,1.7820851361982237,1.7777220912477798,1.7685357115792035
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.04103715673797558,0.040940360012980695,0.0020679837202272878,0.001458715294841039,0.000858364481908175,0.0008565030106700126,0.0008565030106700126
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.607950811790502,23.591824563703163,3.119762730654894,2.3462068913775944,0.9523873117389512,0.9504491260864658,0.9463795519073253
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09916950464938773,0.09883691717809162,0.011863997635550717,0.008511394148731113,0.004781000551833745,0.004779628365574556,0.004766096780806157
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.974959221401965,13.965111361149063,1.8399629037704608,1.3827065045688383,0.5665080609726013,0.5655123538348947,0.5627844297396896
