,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.6966198143049642,1.68820892439689,0.5578011095179545,0.5568739397206696,0.553479825000076
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3168027370788489,1.3113134897190504,0.4571893973181477,0.45615054238041103,0.4531882774885818
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.442764967777921,1.4355512486293005,0.6523470083838071,0.6514005688855079,0.6477204565966074
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.1329845815444646,2.121678252805349,0.7096144876118902,0.7081900174674326,0.7032102585379602
VBFHHbbVV,0.039351255043260674,0.03904325080138763,0.03880557089355434,0.013696663697493422,0.013632912579238078,0.013538430913971822
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.790621748441275,25.753303973004343,6.8674185482148,6.852967589317693,6.814590714853993
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.940306900824716,42.869723650464074,11.501070451149142,11.473951822232168,11.400940732073646
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.040877406190038816,0.040676266480554404,0.019783358757344237,0.019717875840340023,0.01956415694189908
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.580755411501826,23.54821721313965,6.2720421455630255,6.259457987070699,6.221581495422827
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.0988816104239717,0.09820720438405706,0.03006782271959456,0.030020299316206495,0.029759055033490397
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.959763769982018,13.940085145498555,3.7449708204459498,3.7368662652960047,3.7156932154608002
