,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.7027388014877949,1.698663049766168,1.136492418570629,1.1347380990359002,1.1291257398432872
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.320836728851634,1.3183037659471453,0.8582660686770546,0.8570434352625707,0.8527283296708632
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.447807264380078,1.4444991415731718,0.7874138637558115,0.7863081036789297,0.7826196499574796
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.140961360940742,2.1359753311917182,1.4208798520231367,1.4185265151889772,1.412139358265196
VBFHHbbVV,0.039351255043260674,0.03924616046420164,0.03911989412167233,0.025312530720779703,0.02526780017369431,0.0251314385908545
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.82400592855233,25.8066669240408,18.920870944697256,18.887059797943447,18.80998033193563
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,43.003309922715125,42.969311667108784,31.43425401928374,31.373220417321562,31.23318603139115
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.04107439305158276,0.04097565298208205,0.021024782173621363,0.020954060184462386,0.020848712086691742
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.61286589586387,23.598724767229626,17.308519041372463,17.277348188715177,17.20465890910171
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.0992020495099,0.0988927604781206,0.06861994012517453,0.06842877268793507,0.06804456194475667
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.977902824630755,13.96888511777085,10.213955293849319,10.195844209457032,10.153154493183672
