,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.6966198143049642,1.68820892439689,0.03471003136871017,0.01764732178382343,0.017619862268828498,0.01755810881722242
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3168027370788489,1.3113134897190504,0.03161544045662306,0.016102937398206865,0.016107809168181542,0.01607237000158079
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.442764967777921,1.4355512486293005,0.023904470050680936,0.012428467638488493,0.012428467638488493,0.012428467638488493
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.1329845815444646,2.121678252805349,0.043896454155021414,0.02193432860346134,0.02193432860346134,0.021851038155845152
VBFHHbbVV,0.039351255043260674,0.03904325080138763,0.03880557089355434,0.0034185089950554953,0.0018362615300514112,0.0018346960107484681,0.0018288887679356336
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.790621748441275,25.753303973004343,6.227705320485831,3.779204657452504,3.775189101531617,3.7638560743379132
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.940306900824716,42.869723650464074,10.19934431721265,6.173430457147392,6.165522647323978,6.1460429230207065
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.040877406190038816,0.040676266480554404,0.0018473311980072614,0.0010162527127555226,0.001015029728431681,0.0010139320586324556
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.580755411501826,23.54821721313965,5.8172589964289765,3.5346803872551185,3.5302583353587775,3.5185095135808075
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.0988816104239717,0.09820720438405706,0.011939882256606364,0.006523065027803847,0.006523065027803847,0.006467255620032993
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.959763769982018,13.940085145498555,3.403570906307988,2.0643172985252622,2.0614433178948546,2.055398039542834
