,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.7027388014877949,1.698663049766168,0.18241472829250882,0.12575728304971845,0.11037407025074601,0.11020192586192729,0.10977224244657031
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.320836728851634,1.3183037659471453,0.13917265748927227,0.09539235899897476,0.08186045818998533,0.08174990044841793,0.08137425556344409
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.447807264380078,1.4444991415731718,0.1078151698301526,0.07333017973457268,0.06316767898276002,0.06309436704144447,0.06300218839836463
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.140961360940742,2.1359753311917182,0.22012456223504923,0.14882203395113763,0.13050072187575246,0.1303035605082109,0.12971272574720627
VBFHHbbVV,0.039351255043260674,0.03924616046420164,0.03911989412167233,0.0034616869241449006,0.0024183137298851155,0.001431237328059201,0.001427210025239636,0.0014242533899571734
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.82400592855233,25.8066669240408,3.41692586300239,2.5775319586435597,1.0652018447142364,1.0630108700706875,1.0590307655452267
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,43.003309922715125,42.969311667108784,5.688492162319613,4.281949125971976,1.7836908156540008,1.7794910635807346,1.7704059308883813
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.04107439305158276,0.04097565298208205,0.002055788745779366,0.0014422578905652211,0.0008589738204659286,0.0008571123492277662,0.0008571123492277662
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.61286589586387,23.598724767229626,3.1187402363585788,2.3470415133412206,0.9548114088038616,0.9528816826093399,0.9487075218379268
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.0992020495099,0.0988927604781206,0.0118974585541614,0.008593555242484818,0.004852541657829328,0.0048511694715701395,0.00483763788680174
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.977902824630755,13.96888511777085,1.8409722347708934,1.3818880870328736,0.5666439335975944,0.5656480549020466,0.562924848817683
