,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.6966198143049642,1.68820892439689,0.18146515177092687,0.12498762226303357,0.10966777511953549,0.10949563073071679,0.1090639866511436
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3168027370788489,1.3113134897190504,0.138259239804426,0.09468778586635435,0.08120966712322554,0.08109914537637093,0.08072740847734582
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.442764967777921,1.4355512486293005,0.10774924102373479,0.07307379115420473,0.06304636109382035,0.06297304915250479,0.06288087050942495
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.1329845815444646,2.121678252805349,0.21808141329305508,0.14741233764639644,0.12912574159984547,0.1289285802323039,0.12841304492922395
VBFHHbbVV,0.039351255043260674,0.03904325080138763,0.03880557089355434,0.0034137659346211643,0.0023892573456727184,0.0014074427886463087,0.0014034154858267437,0.0014004588505442809
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.790621748441275,25.753303973004343,3.410737609486732,2.5713941747627387,1.0629212253660396,1.0607115221479766,1.0566978453746871
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.940306900824716,42.869723650464074,5.683523088564222,4.2761590110315035,1.7768497369301015,1.7724866919796574,1.7635002335846355
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.040877406190038816,0.040676266480554404,0.0020412371187693837,0.001435445479200838,0.0008599875169749544,0.0008581260457367919,0.0008581260457367919
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.580755411501826,23.54821721313965,3.117484757190724,2.3450780791033043,0.9533479636833493,0.951355877106859,0.9472398653760186
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.0988816104239717,0.09820720438405706,0.011830775408970012,0.008509529063344783,0.004817719338384324,0.004816347152125136,0.004792355187391732
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.959763769982018,13.940085145498555,1.8381616912880685,1.3803797451455033,0.565907147573288,0.5649474621804419,0.5622251366551939
