,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.702520171625074,1.6982652728024297,0.561932763892256,0.5610037234112613,0.5575440589442993
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3205865338699505,1.3179815656554148,0.45990177389515624,0.4588620478818811,0.4558637458962106
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.4476068021072082,1.4442839363403324,0.6570500432618345,0.6561026054958554,0.6524180627503241
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.1404933898792873,2.1353347498037487,0.7145906276903137,0.7131461217963615,0.708089248539067
VBFHHbbVV,0.039351255043260674,0.03920695729906934,0.03907497453217168,0.0137925671154095,0.013728145838347139,0.013632315284341667
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.821883109051342,25.80402102276243,6.885697884410314,6.871234475176708,6.832627948130068
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.997215163068525,42.96260683262052,11.532115377466221,11.504806635304062,11.431236074624925
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.041054284373482686,0.04094876568163727,0.01992180582348307,0.019856158591599782,0.01970237632206235
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.61028728937363,23.59518287714358,6.289147715842027,6.276488948388732,6.238309134404222
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09916880555615576,0.09887153728314756,0.030253092016541583,0.030205330111443524,0.02993990199338055
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.976532185961757,13.96675801433889,3.7543602281530455,3.746241072755976,3.7249550216487357
