,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore_JMS_down ≥ 0.998,bbFatJetParticleNetMD_Txbb ≥ 0.9734,BDTScore ≥ 0.998
HHbbVV,4.212152831867275,1.992043000326517,1.992043000326517,1.992043000326517,1.9861334246299032,1.981125128881637,0.1630221833782124,0.11205908749946729,
ggHH_kl_2p45_kt_1_HHbbVV,2.9745782884612515,1.5432728900245152,1.5432728900245152,1.5432728900245152,1.5389825758017326,1.5358698844856542,0.12152475261046083,0.08338300507494502,
ggHH_kl_5_kt_1_HHbbVV,3.024267581347732,1.6992983771239942,1.6992983771239942,1.6992983771239942,1.6954316100118954,1.6912509178977773,0.09398664962058464,0.06336622138073246,
ggHH_kl_0_kt_1_HHbbVV,5.525753766039689,2.5008088076536663,2.5008088076536663,2.5008088076536663,2.492400734674631,2.486021038384556,0.19282331256226526,0.1303615336983597,
qqHH_CV_1_C2V_1_kl_1_HHbbVV,0.08080083387529777,0.0471359884176165,0.0471359884176165,0.0471359884176165,0.04696965505299343,0.04680782753427778,0.0027772943751129646,0.0019160768275163303,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,37.59031628851101,30.684634831131394,30.684634831131394,30.684634831131394,30.649876720820107,30.62791174926079,3.258619808146623,2.4773948998055224,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,63.61565564660195,51.09146910173492,51.09146910173492,51.09146910173492,51.02619356994726,50.982718165453605,5.371448799954861,4.079905886771455,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0755132861969917,0.04912744088644729,0.04912744088644729,0.04912744088644729,0.048941276899068145,0.04880549001071947,0.0017930633432242378,0.0012759661240559265,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,33.59757114342516,28.05713425984107,28.05713425984107,28.05713425984107,28.027153630489774,28.00840383282709,2.9934906008480704,2.275691428854621,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.21899698228055675,0.11904051829601674,0.11904051829601674,0.11904051829601674,0.11867720764603297,0.11831599320372019,0.010130176422041275,0.007448067196187318,
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,20.109831451322012,16.609688285231236,16.609688285231236,16.609688285231236,16.590017395357748,16.57790852793485,1.767482892282385,1.3405654637543527,
QCD,3052764.194451403,1301832.896386517,1396522.353647176,1396522.353647176,1391274.5382613477,1387353.1969275854,46.83288994144043,14.248551297313401,
TT,217539.42041251797,122304.088162081,122304.088162081,122304.088162081,121872.74207564502,121419.87436582817,27.46553093085439,5.221263423082564,
ST,15175.476848651859,9009.706988812268,9009.706988812268,9009.706988812268,8970.28989150847,8949.125923995576,2.572463118436498,0.6325694959034351,
V+Jets,85869.75128605982,45001.54838412287,45001.54838412287,45001.54838412287,44839.88385294852,44728.338222447535,13.399427607493415,4.171456798982455,
Diboson,1365.2537297679432,749.3028178092068,749.3028178092068,749.3028178092068,746.9936486720342,744.0506017684028,0.0,0.0,
Data,1573587.0,1573587.0,1573587.0,1573587.0,1573587.0,1573587.0,,41.0,202.0
