,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JER_down ≥ 300,VVFatJetPt_JER_down ≥ 300,BDTScore_JER_down ≥ 0.998,bbFatJetParticleNetMD_Txbb ≥ 0.9734,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore ≥ 0.998
HHbbVV,4.212152831867275,1.992043000326517,1.992043000326517,1.992043000326517,1.986315512236825,1.9815073231361668,0.16331065178548965,0.11224451648412537,,,
ggHH_kl_2p45_kt_1_HHbbVV,2.9745782884612515,1.5432728900245152,1.5432728900245152,1.5432728900245152,1.5393005051252022,1.5362611350124076,0.12161563066898817,0.0834536891234306,,,
ggHH_kl_5_kt_1_HHbbVV,3.024267581347732,1.6992983771239942,1.6992983771239942,1.6992983771239942,1.6956640860385312,1.691550309895977,0.09379006428990491,0.06324987744755219,,,
ggHH_kl_0_kt_1_HHbbVV,5.525753766039689,2.5008088076536663,2.5008088076536663,2.5008088076536663,2.4928557654112016,2.486750635802229,0.192954855183571,0.13041461700709536,,,
qqHH_CV_1_C2V_1_kl_1_HHbbVV,0.08080083387529777,0.0471359884176165,0.0471359884176165,0.0471359884176165,0.04700210312789463,0.04685081431225273,0.00279939731748988,0.0019288246213468962,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,37.59031628851101,30.684634831131394,30.684634831131394,30.684634831131394,30.652749719059294,30.631414806447417,3.2618385680039435,2.4801709250646664,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,63.61565564660195,51.09146910173492,51.09146910173492,51.09146910173492,51.03358768384827,50.99100693344389,5.373737228462995,4.0831099665397605,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0755132861969917,0.04912744088644729,0.04912744088644729,0.04912744088644729,0.048962169629822375,0.04883542367546119,0.0018090134538311313,0.0012861453697049666,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,33.59757114342516,28.05713425984107,28.05713425984107,28.05713425984107,28.030399250315277,28.012796591098304,2.995423108802953,2.2772599163626515,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.21899698228055675,0.11904051829601674,0.11904051829601674,0.11904051829601674,0.11872731289785511,0.11834849310826141,0.010068850132048213,0.007375185400341622,,,
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,20.109831451322012,16.609688285231236,16.609688285231236,16.609688285231236,16.59184125282177,16.580592054168513,1.766408138926851,1.3390681420961992,,,
QCD,3052764.194451403,1301832.896386517,1396522.353647176,1396522.353647176,1391438.8555958904,1387651.584409052,58.24442742975104,14.248551297313401,,,
TT,217539.42041251797,122304.088162081,122304.088162081,122304.088162081,121858.57397285436,121393.74802776259,27.077990827960743,5.220284847047071,,,
ST,15175.476848651859,9009.706988812268,9009.706988812268,9009.706988812268,8969.153793738911,8948.396413198747,2.572463118436498,0.6325694959034351,,,
V+Jets,85869.75128605982,45001.54838412287,45001.54838412287,45001.54838412287,44847.03254687517,44740.07191338349,13.338783451632672,4.356349359284022,,,
Diboson,1365.2537297679432,749.3028178092068,749.3028178092068,749.3028178092068,746.3661198286002,743.1069179218454,0.0,0.0,,,
Data,1573587.0,1573587.0,1573587.0,1573587.0,,,,41.0,1573587.0,1573587.0,202.0
