,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JER_down ≥ 300,VVFatJetPt_JER_down ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.9734,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300
HHbbVV,4.212152831867275,1.992043000326517,1.992043000326517,1.992043000326517,1.986315512236825,1.9815073231361668,1.9815073231361668,0.6566752885640064,,
ggHH_kl_2p45_kt_1_HHbbVV,2.9745782884612515,1.5432728900245152,1.5432728900245152,1.5432728900245152,1.5393005051252022,1.5362611350124076,1.5362611350124076,0.5361874482182619,,
ggHH_kl_5_kt_1_HHbbVV,3.024267581347732,1.6992983771239942,1.6992983771239942,1.6992983771239942,1.6956640860385312,1.691550309895977,1.691550309895977,0.7721836083063666,,
ggHH_kl_0_kt_1_HHbbVV,5.525753766039689,2.5008088076536663,2.5008088076536663,2.5008088076536663,2.4928557654112016,2.486750635802229,2.486750635802229,0.8325341668963208,,
qqHH_CV_1_C2V_1_kl_1_HHbbVV,0.08080083387529777,0.0471359884176165,0.0471359884176165,0.0471359884176165,0.04700210312789463,0.04685081431225273,0.04685081431225273,0.01653775940511957,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,37.59031628851101,30.684634831131394,30.684634831131394,30.684634831131394,30.652749719059294,30.631414806447417,30.631414806447417,8.170244843134162,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,63.61565564660195,51.09146910173492,51.09146910173492,51.09146910173492,51.03358768384827,50.99100693344389,50.99100693344389,13.709926425173961,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0755132861969917,0.04912744088644729,0.04912744088644729,0.04912744088644729,0.048962169629822375,0.04883542367546119,0.04883542367546119,0.02375722266697959,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,33.59757114342516,28.05713425984107,28.05713425984107,28.05713425984107,28.030399250315277,28.012796591098304,28.012796591098304,7.459012303247486,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.21899698228055675,0.11904051829601674,0.11904051829601674,0.11904051829601674,0.11872731289785511,0.11834849310826141,0.11834849310826141,0.03636500202086177,,
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,20.109831451322012,16.609688285231236,16.609688285231236,16.609688285231236,16.59184125282177,16.580592054168513,16.580592054168513,4.456519324557359,,
QCD,3052764.194451403,1301832.896386517,1396522.353647176,1396522.353647176,1391438.8555958904,1387651.584409052,1387651.584409052,1116581.2634885325,,
TT,217539.42041251797,122304.088162081,122304.088162081,122304.088162081,121858.57397285436,121393.74802776259,121393.74802776259,98230.10818315783,,
ST,15175.476848651859,9009.706988812268,9009.706988812268,9009.706988812268,8969.153793738911,8948.396413198747,8948.396413198747,7340.255240912415,,
V+Jets,85869.75128605982,45001.54838412287,45001.54838412287,45001.54838412287,44847.03254687517,44740.07191338349,44740.07191338349,30495.415943414046,,
Diboson,1365.2537297679432,749.3028178092068,749.3028178092068,749.3028178092068,746.3661198286002,743.1069179218454,743.1069179218454,438.14056891526815,,
Data,1573587.0,1573587.0,1573587.0,1573587.0,,,1573587.0,1294132.0,1573587.0,1573587.0
