,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore ≥ 0.998,bbFatJetParticleNetMD_Txbb ≥ 0.9734
HHbbVV,4.212152831867275,1.992043000326517,1.992043000326517,1.992043000326517,1.9861334246299032,1.981125128881637,0.16304395610110078,0.11214802078161226
ggHH_kl_2p45_kt_1_HHbbVV,2.9745782884612515,1.5432728900245152,1.5432728900245152,1.5432728900245152,1.5389825758017326,1.5358698844856542,0.12161906761599893,0.08344336358978927
ggHH_kl_5_kt_1_HHbbVV,3.024267581347732,1.6992983771239942,1.6992983771239942,1.6992983771239942,1.6954316100118954,1.6912509178977773,0.09429944775483964,0.06370086186956549
ggHH_kl_0_kt_1_HHbbVV,5.525753766039689,2.5008088076536663,2.5008088076536663,2.5008088076536663,2.492400734674631,2.486021038384556,0.1925373914782214,0.13019623172659678
qqHH_CV_1_C2V_1_kl_1_HHbbVV,0.08080083387529777,0.0471359884176165,0.0471359884176165,0.0471359884176165,0.04696965505299343,0.04680782753427778,0.002786966191979052,0.0019212708451813007
qqHH_CV_1_C2V_0_kl_1_HHbbVV,37.59031628851101,30.684634831131394,30.684634831131394,30.684634831131394,30.649876720820107,30.62791174926079,3.260513692941439,2.4793709457583772
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,63.61565564660195,51.09146910173492,51.09146910173492,51.09146910173492,51.02619356994726,50.982718165453605,5.375983620664579,4.084279896854673
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0755132861969917,0.04912744088644729,0.04912744088644729,0.04912744088644729,0.048941276899068145,0.04880549001071947,0.001788795397767935,0.001267575086767554
qqHH_CV_1_C2V_2_kl_1_HHbbVV,33.59757114342516,28.05713425984107,28.05713425984107,28.05713425984107,28.027153630489774,28.00840383282709,2.9973028698007673,2.2787945648515544
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.21899698228055675,0.11904051829601674,0.11904051829601674,0.11904051829601674,0.11867720764603297,0.11831599320372019,0.010083733847323625,0.00740162462146967
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,20.109831451322012,16.609688285231236,16.609688285231236,16.609688285231236,16.590017395357748,16.57790852793485,1.7675991498682404,1.3403437526664594
QCD,3052764.194451403,1301832.896386517,1396522.353647176,1396522.353647176,1391274.5382613477,1387353.1969275854,46.83288994144043,14.248551297313401
TT,217539.42041251797,122304.088162081,122304.088162081,122304.088162081,121872.74207564502,121419.87436582817,27.226332309298137,5.30385244021429
ST,15175.476848651859,9009.706988812268,9009.706988812268,9009.706988812268,8970.28989150847,8949.125923995576,2.6154260332941215,0.6325694959034351
V+Jets,85869.75128605982,45001.54838412287,45001.54838412287,45001.54838412287,44839.88385294852,44728.338222447535,13.4604761502986,4.356349359284022
Diboson,1365.2537297679432,749.3028178092068,749.3028178092068,749.3028178092068,746.9936486720342,744.0506017684028,0.0,0.0
Data,1573587.0,1573587.0,1573587.0,1573587.0,1573587.0,1573587.0,202.0,41.0
